policy,decision_date,fill_date,adjusted_open,equity_before_fill,equity,cash,shares,holding_exposure_for_return,target_exposure,new_exposure_after_fill,signed_share_delta,reference_price,fill_price,turnover,fees,slippage,margin_interest,trade_executed,daily_return,monetary_pnl,drawdown
union,2013-06-12,2013-06-13,13.225136191543607,27043.063315887663,27043.063315887663,0.0,2044.8230493973658,1.0,1.0,1.0,0.0,13.225136191543607,13.225136191543607,0.0,0.0,0.0,0.0,False,-0.015927331483955753,-437.69514950889425,-0.34302509733954467
union,2013-06-13,2013-06-14,13.313815130380855,27224.396054018165,27224.396054018165,0.0,2044.8230493973658,1.0,1.0,1.0,0.0,13.313815130380855,13.313815130380855,0.0,0.0,0.0,0.0,False,0.006705332750671422,181.33273813050255,-0.33861986200836625
union,2013-06-14,2013-06-17,13.192724950209643,26976.788062548392,26976.788062548392,0.0,2044.8230493973658,1.0,1.0,1.0,0.0,13.192724950209643,13.192724950209643,0.0,0.0,0.0,0.0,False,-0.009095077480450797,-247.60799146977297,-0.34463516560743146
union,2013-06-17,2013-06-18,13.196397675889168,26984.298136671998,26984.298136671998,0.0,2044.8230493973658,1.0,1.0,1.0,0.0,13.196397675889168,13.196397675889168,0.0,0.0,0.0,0.0,False,0.0002783902259302362,7.510074123605591,-0.3444527184431181
union,2013-06-18,2013-06-19,13.191499311375681,26974.281848010472,26974.281848010472,0.0,2044.8230493973658,1.0,1.0,1.0,0.0,13.191499311375681,13.191499311375681,0.0,0.0,0.0,0.0,False,-0.00037118951957892943,-10.016288661525323,-0.34469605072362053
union,2013-06-19,2013-06-20,12.821498709314469,26217.6960886248,26217.6960886248,0.0,2044.8230493973658,1.0,1.0,1.0,0.0,12.821498709314469,12.821498709314469,0.0,0.0,0.0,0.0,False,-0.02804841158139948,-756.5857593856708,-0.36307628560384086
union,2013-06-20,2013-06-21,12.796731734505071,26167.052007670703,26167.052007670703,0.0,2044.8230493973658,1.0,1.0,1.0,0.0,12.796731734505071,12.796731734505071,0.0,0.0,0.0,0.0,False,-0.0019316754905885913,-50.64408095409817,-0.3643066155323147
union,2013-06-21,2013-06-24,12.457621439718853,25473.63146060391,25473.63146060391,0.0,2044.8230493973658,1.0,1.0,1.0,0.0,12.457621439718853,12.457621439718853,0.0,0.0,0.0,0.0,False,-0.026499758049302713,-693.4205470667948,-0.3811523364142507
union,2013-06-24,2013-06-25,12.405636539207988,25367.331537818663,25367.331537818663,0.0,2044.8230493973658,1.0,1.0,1.0,0.0,12.405636539207988,12.405636539207988,0.0,0.0,0.0,0.0,False,-0.004172939494301864,-106.29992278524514,-0.3837347502705841
union,2013-06-25,2013-06-26,12.350596515542538,25254.784428788174,25254.784428788174,0.0,2044.8230493973658,1.0,1.0,1.0,0.0,12.350596515542538,12.350596515542538,0.0,0.0,0.0,0.0,False,-0.0044366948436298514,-112.54710903048908,-0.3864689311263668
union,2013-06-26,2013-06-27,12.208407978221109,24964.034030313218,24964.034030313218,0.0,2044.8230493973658,1.0,1.0,1.0,0.0,12.208407978221109,12.208407978221109,0.0,0.0,0.0,0.0,False,-0.01151268581582221,-290.75039847495646,-0.3935323215605546
union,2013-06-27,2013-06-28,11.967142692692644,24470.689213445174,24470.689213445174,0.0,2044.8230493973658,1.0,1.0,1.0,0.0,11.967142692692644,11.967142692692644,0.0,0.0,0.0,0.0,False,-0.019762223375796917,-493.3448168680443,-0.4055174712920758
union,2013-06-28,2013-07-01,12.31359827257742,25179.129568785895,25179.129568785895,0.0,2044.8230493973658,1.0,1.0,1.0,0.0,12.31359827257742,12.31359827257742,0.0,0.0,0.0,0.0,False,0.028950568133220944,708.440355340721,-0.3883068643407076
union,2013-07-01,2013-07-02,12.535901484629,25633.700300744036,25633.700300744036,0.0,2044.8230493973658,1.0,1.0,1.0,0.0,12.535901484629,12.535901484629,0.0,0.0,0.0,0.0,False,0.018053472846085272,454.57073195814155,-0.3772636789259457
union,2013-07-02,2013-07-03,12.869206302440576,26315.249674680337,26288.934425005657,26288.934425005657,0.0,1.0,0.0,0.0,-2044.8230493973658,12.869206302440576,12.856337096138136,1.0,0.0,26.315249674679695,0.0,True,0.025561433447928827,655.2341242616203,-0.36134564589920326
union,2013-07-03,2013-07-05,12.854834715223818,26288.934425005657,26262.671753252405,0.0,2043.0190146396712,0.0,1.0,1.0,2043.0190146396712,12.854834715223818,12.86768954993904,0.999000999000999,0.0,26.26267175324909,0.0,True,-0.0009990009990009652,-26.262671753251198,-0.3619836622369663
