strategy_decision_date,strategy_fill_date,strategy_adjusted_open,strategy_equity_before_fill,strategy_equity,strategy_cash,strategy_shares,strategy_holding_exposure_for_return,strategy_target_exposure,strategy_new_exposure_after_fill,strategy_signed_share_delta,strategy_reference_price,strategy_fill_price,strategy_turnover,strategy_fees,strategy_slippage,strategy_margin_interest,strategy_trade_executed,strategy_daily_return,strategy_monetary_pnl,strategy_drawdown,aapl_decision_date,aapl_fill_date,aapl_adjusted_open,aapl_equity_before_fill,aapl_equity,aapl_cash,aapl_shares,aapl_holding_exposure_for_return,aapl_target_exposure,aapl_new_exposure_after_fill,aapl_signed_share_delta,aapl_reference_price,aapl_fill_price,aapl_turnover,aapl_fees,aapl_slippage,aapl_margin_interest,aapl_trade_executed,aapl_daily_return,aapl_monetary_pnl,aapl_drawdown
2006-08-21,2006-08-22,1.996094632874366,1398.1567058613948,1398.1567058613948,0.0,700.4461025217308,1.0,1.0,1.0,0.0,1.996094632874366,1.996094632874366,0.0,0.0,0.0,0.0,False,-0.00921179971739372,-12.999286370439677,-0.04434940993222358,2006-08-21,2006-08-22,1.996094632874366,2541.9474099569984,2541.9474099569984,0.0,1273.460370111114,1.0,1.0,1.0,0.0,1.996094632874366,1.996094632874366,0.0,0.0,0.0,0.0,False,-0.00921179971739361,-23.633618593754363,-0.22193681258031417
2006-08-22,2006-08-23,2.035609532530462,1425.8347633170445,1425.8347633170445,0.0,700.4461025217308,1.0,1.0,1.0,0.0,2.035609532530462,2.035609532530462,0.0,0.0,0.0,0.0,False,0.019796105357587468,27.67805745564965,-0.02543125016620118,2006-08-22,2006-08-23,2.035609532530462,2592.268068697954,2592.268068697954,0.0,1273.460370111114,1.0,1.0,1.0,0.0,2.035609532530462,2.035609532530462,0.0,0.0,0.0,0.0,False,0.019796105357587468,50.32065874095542,-0.2065341917472937
2006-08-23,2006-08-24,2.0323166981257534,1423.528310292017,1423.528310292017,0.0,700.4461025217308,1.0,1.0,1.0,0.0,2.0323166981257534,2.0323166981257534,0.0,0.0,0.0,0.0,False,-0.0016176159288343595,-2.3064530250273947,-0.027007728099676553,2006-08-23,2006-08-24,2.0323166981257534,2588.0747745782187,2588.0747745782187,0.0,1273.460370111114,1.0,1.0,1.0,0.0,2.0323166981257534,2.0323166981257534,0.0,0.0,0.0,0.0,False,-0.0016176159288345815,-4.193294119735128,-0.20781771467770882
2006-08-24,2006-08-25,2.0158512580584715,1411.9951569705843,1411.9951569705843,0.0,700.4461025217308,1.0,1.0,1.0,0.0,2.0158512580584715,2.0158512580584715,0.0,0.0,0.0,0.0,False,-0.008101808188884507,-11.533153321432792,-0.03489072485587996,2006-08-24,2006-08-25,2.0158512580584715,2567.1066891760956,2567.1066891760956,0.0,1273.460370111114,1.0,1.0,1.0,0.0,2.0158512580584715,2.0158512580584715,0.0,0.0,0.0,0.0,False,-0.008101808188884396,-20.96808540212305,-0.21423582360402216
2006-08-25,2006-08-28,2.0505768240066153,1436.318544296823,1436.318544296823,0.0,700.4461025217308,1.0,1.0,1.0,0.0,2.0505768240066153,2.0505768240066153,0.0,0.0,0.0,0.0,False,0.017226254074712344,24.323387326238617,-0.01826550727238585,2006-08-25,2006-08-28,2.0505768240066153,2611.328321240737,2611.328321240737,0.0,1273.460370111114,1.0,1.0,1.0,0.0,2.0505768240066153,2.0505768240066153,0.0,0.0,0.0,0.0,False,0.017226254074712344,44.2216320646412,-0.20070005025861792
2006-08-28,2006-08-29,2.0053738747567262,1404.6563146722506,1404.6563146722506,0.0,700.4461025217308,1.0,1.0,1.0,0.0,2.0053738747567262,2.0053738747567262,0.0,0.0,0.0,0.0,False,-0.022044016454632054,-31.66222962457232,-0.039906878584153205,2006-08-28,2006-08-29,2.0053738747567262,2553.7641567588594,2553.7641567588594,0.0,1273.460370111114,1.0,1.0,1.0,0.0,2.0053738747567262,2.0053738747567262,0.0,0.0,0.0,0.0,False,-0.022044016454632054,-57.56416448187747,-0.21831983150290357
2006-08-29,2006-08-30,2.0158516705710863,1411.9954459134374,1411.9954459134374,0.0,700.4461025217308,1.0,1.0,1.0,0.0,2.0158516705710863,2.0158516705710863,0.0,0.0,0.0,0.0,False,0.0052248590381336335,7.339131241186806,-0.03489052736127374,2006-08-29,2006-08-30,2.0158516705710863,2567.107214494563,2567.107214494563,0.0,1273.460370111114,1.0,1.0,1.0,0.0,2.0158516705710863,2.0158516705710863,0.0,0.0,0.0,0.0,False,0.0052248590381336335,13.343057735703496,-0.2142356628096016
2006-08-30,2006-08-31,2.014055408991966,1410.737261491233,1410.737261491233,0.0,700.4461025217308,1.0,1.0,1.0,0.0,2.014055408991966,2.014055408991966,0.0,0.0,0.0,0.0,False,-0.0008910683287581822,-1.2581844222042946,-0.0357505058461266,2006-08-30,2006-08-31,2.014055408991966,2564.8197465591998,2564.8197465591998,0.0,1273.460370111114,1.0,1.0,1.0,0.0,2.014055408991966,2.014055408991966,0.0,0.0,0.0,0.0,False,-0.0008910683287582932,-2.287467935363111,-0.21493583252433968
2006-08-31,2006-09-01,2.0499771679050536,1435.8985175176306,1435.8985175176306,0.0,700.4461025217308,1.0,1.0,1.0,0.0,2.0499771679050536,2.0499771679050536,0.0,0.0,0.0,0.0,False,0.017835536575960598,25.161256026397496,-0.018552598724793645,2006-08-31,2006-09-01,2.0499771679050536,2610.5646829597026,2610.5646829597026,0.0,1273.460370111114,1.0,1.0,1.0,0.0,2.0499771679050536,2.0499771679050536,0.0,0.0,0.0,0.0,False,0.017835536575960598,45.744936400502866,-0.20093379185085147
2006-09-01,2006-09-05,2.064646516328143,1446.1736054471169,1446.1736054471169,0.0,700.4461025217308,1.0,1.0,1.0,0.0,2.064646516328143,2.064646516328143,0.0,0.0,0.0,0.0,False,0.007155859417732335,10.27508792948629,-0.0115294990953696,2006-09-01,2006-09-05,2.064646516328143,2629.2455168318593,2629.2455168318593,0.0,1273.460370111114,1.0,1.0,1.0,0.0,2.064646516328143,2.064646516328143,0.0,0.0,0.0,0.0,False,0.007155859417732335,18.680833872156654,-0.1952157863998757
