strategy_decision_date,strategy_fill_date,strategy_adjusted_open,strategy_equity_before_fill,strategy_equity,strategy_cash,strategy_shares,strategy_holding_exposure_for_return,strategy_target_exposure,strategy_new_exposure_after_fill,strategy_signed_share_delta,strategy_reference_price,strategy_fill_price,strategy_turnover,strategy_fees,strategy_slippage,strategy_margin_interest,strategy_trade_executed,strategy_daily_return,strategy_monetary_pnl,strategy_drawdown,aapl_decision_date,aapl_fill_date,aapl_adjusted_open,aapl_equity_before_fill,aapl_equity,aapl_cash,aapl_shares,aapl_holding_exposure_for_return,aapl_target_exposure,aapl_new_exposure_after_fill,aapl_signed_share_delta,aapl_reference_price,aapl_fill_price,aapl_turnover,aapl_fees,aapl_slippage,aapl_margin_interest,aapl_trade_executed,aapl_daily_return,aapl_monetary_pnl,aapl_drawdown
2013-06-17,2013-06-18,13.196397675889168,5103.485917204286,5103.485917204286,0.0,386.7332617998279,1.0,1.0,1.0,0.0,13.196397675889168,13.196397675889168,0.0,0.0,0.0,0.0,False,0.0002783902259302362,1.4203651817388163,-0.4439930808032826,2013-06-17,2013-06-18,13.196397675889168,16796.69531788761,16796.69531788761,0.0,1272.8242760201492,1.0,1.0,1.0,0.0,13.196397675889168,13.196397675889168,0.0,0.0,0.0,0.0,False,0.00027839022593045826,4.6747344040632015,-0.37508837550947316
2013-06-18,2013-06-19,13.191499311375681,5101.591556718501,5101.591556718501,0.0,386.7332617998279,1.0,1.0,1.0,0.0,13.191499311375681,13.191499311375681,0.0,0.0,0.0,0.0,False,-0.00037118951957892943,-1.8943604857850005,-0.4441994647445018,2013-06-18,2013-06-19,13.191499311375681,16790.460560622047,16790.460560622047,0.0,1272.8242760201492,1.0,1.0,1.0,0.0,13.191499311375681,13.191499311375681,0.0,0.0,0.0,0.0,False,-0.00037118951957915147,-6.23475726556353,-0.37532033615514726
2013-06-19,2013-06-20,12.821498709314469,4958.500017015468,4958.500017015468,0.0,386.7332617998279,1.0,1.0,1.0,0.0,12.821498709314469,12.821498709314469,0.0,0.0,0.0,0.0,False,-0.02804841158139948,-143.09153970303305,-0.4597887869145101,2013-06-19,2013-06-20,12.821498709314469,16319.514812176467,16319.514812176467,0.0,1272.8242760201492,1.0,1.0,1.0,0.0,12.821498709314469,12.821498709314469,0.0,0.0,0.0,0.0,False,-0.028048411581399257,-470.94574844557974,-0.3928416084731978
2013-06-20,2013-06-21,12.796731734505071,4948.921804062516,4948.921804062516,0.0,386.7332617998279,1.0,1.0,1.0,0.0,12.796731734505071,12.796731734505071,0.0,0.0,0.0,0.0,False,-0.0019316754905887024,-9.578212952952526,-0.4608322996745686,2013-06-20,2013-06-21,12.796731734505071,16287.990805395486,16287.990805395486,0.0,1272.8242760201492,1.0,1.0,1.0,0.0,12.796731734505071,12.796731734505071,0.0,0.0,0.0,0.0,False,-0.0019316754905887024,-31.524006780980926,-0.3940144414570155
2013-06-21,2013-06-24,12.457621439718853,4817.7765736499405,4817.7765736499405,0.0,386.7332617998279,1.0,1.0,1.0,0.0,12.457621439718853,12.457621439718853,0.0,0.0,0.0,0.0,False,-0.026499758049302602,-131.14523041257507,-0.4751201132811914,2013-06-21,2013-06-24,12.457621439718853,15856.362989943238,15856.362989943238,0.0,1272.8242760201492,1.0,1.0,1.0,0.0,12.457621439718853,12.457621439718853,0.0,0.0,0.0,0.0,False,-0.026499758049302713,-431.6278154522479,-0.41007291213977615
2013-06-24,2013-06-25,12.405636539207988,4797.672283511034,4797.672283511034,0.0,386.7332617998279,1.0,1.0,1.0,0.0,12.405636539207988,12.405636539207988,0.0,0.0,0.0,0.0,False,-0.004172939494301975,-20.104290138906435,-0.47731040529024504,2013-06-24,2013-06-25,12.405636539207988,15790.195346586517,15790.195346586517,0.0,1272.8242760201492,1.0,1.0,1.0,0.0,12.405636539207988,12.405636539207988,0.0,0.0,0.0,0.0,False,-0.004172939494301864,-66.16764335672087,-0.41253464218346647
2013-06-25,2013-06-26,12.350596515542538,4776.386475629355,4776.386475629355,0.0,386.7332617998279,1.0,1.0,1.0,0.0,12.350596515542538,12.350596515542538,0.0,0.0,0.0,0.0,False,-0.00443669484362974,-21.28580788167892,-0.4796294195199128,2013-06-25,2013-06-26,12.350596515542538,15720.139068312408,15720.139068312408,0.0,1272.8242760201492,1.0,1.0,1.0,0.0,12.350596515542538,12.350596515542538,0.0,0.0,0.0,0.0,False,-0.0044366948436298514,-70.05627827410899,-0.41514104670730234
2013-06-26,2013-06-27,12.208407978221109,4721.397438800492,4721.397438800492,0.0,386.7332617998279,1.0,1.0,1.0,0.0,12.208407978221109,12.208407978221109,0.0,0.0,0.0,0.0,False,-0.011512685815822321,-54.98903682886339,-0.48562028252077705,2013-06-26,2013-06-27,12.208407978221109,15539.158046237897,15539.158046237897,0.0,1272.8242760201492,1.0,1.0,1.0,0.0,12.208407978221109,12.208407978221109,0.0,0.0,0.0,0.0,False,-0.011512685815822099,-180.9810220745112,-0.42187434408313174
2013-06-27,2013-06-28,11.967142692692644,4628.092127969002,4628.092127969002,0.0,386.7332617998279,1.0,1.0,1.0,0.0,11.967142692692644,11.967142692692644,0.0,0.0,0.0,0.0,False,-0.019762223375796695,-93.3053108314898,-0.49578556939758067,2013-06-27,2013-06-28,11.967142692692644,15232.069733856333,15232.069733856333,0.0,1272.8242760201492,1.0,1.0,1.0,0.0,11.967142692692644,11.967142692692644,0.0,0.0,0.0,0.0,False,-0.019762223375796806,-307.0883123815638,-0.4332993924346399
2013-06-28,2013-07-01,12.31359827257742,4762.078024446591,4762.078024446591,0.0,386.7332617998279,1.0,1.0,1.0,0.0,12.31359827257742,12.31359827257742,0.0,0.0,0.0,0.0,False,0.028950568133220722,133.98589647758945,-0.4811882751706722,2013-06-28,2013-07-01,12.31359827257742,15673.046806496313,15673.046806496313,0.0,1272.8242760201492,1.0,1.0,1.0,0.0,12.31359827257742,12.31359827257742,0.0,0.0,0.0,0.0,False,0.028950568133220944,440.9770726399802,-0.4168930878841812
2013-07-01,2013-07-02,12.535901484629,4848.050070751879,4848.050070751879,0.0,386.7332617998279,1.0,1.0,1.0,0.0,12.535901484629,12.535901484629,0.0,0.0,0.0,0.0,False,0.018053472846085494,85.97204630528722,-0.4718219217842351,2013-07-01,2013-07-02,12.535901484629,15955.99973143282,15955.99973143282,0.0,1272.8242760201492,1.0,1.0,1.0,0.0,12.535901484629,12.535901484629,0.0,0.0,0.0,0.0,False,0.018053472846085272,282.95292493650595,-0.40636598307993366
2013-07-02,2013-07-03,12.869206302440576,4976.950130117747,4976.950130117747,0.0,386.7332617998279,1.0,1.0,1.0,0.0,12.869206302440576,12.869206302440576,0.0,0.0,0.0,0.0,False,0.026588021469398093,128.9000593658684,-0.45777871170096895,2013-07-02,2013-07-03,12.869206302440576,16380.238194857868,16380.238194857868,0.0,1272.8242760201492,1.0,1.0,1.0,0.0,12.869206302440576,12.869206302440576,0.0,0.0,0.0,0.0,False,0.026588021469398315,424.2384634250484,-0.3905824290930978
2013-07-03,2013-07-05,12.854834715223818,4971.392159316169,4971.392159316169,0.0,386.7332617998279,1.0,1.0,1.0,0.0,12.854834715223818,12.854834715223818,0.0,0.0,0.0,0.0,False,-0.0011167423133182641,-5.5579708015775395,-0.45838423315679444,2013-07-03,2013-07-05,12.854834715223818,16361.945689763437,16361.945689763437,0.0,1272.8242760201492,1.0,1.0,1.0,0.0,12.854834715223818,12.854834715223818,0.0,0.0,0.0,0.0,False,-0.0011167423133182641,-18.292505094430453,-0.3912629914810092
