market,report_date,availability_date,net_share
SP500,2001-04-03,2001-04-11,-0.017394659898778513
NASDAQ,2001-04-10,2001-04-18,0.064973204985002322
SP500,2001-04-10,2001-04-18,0.065670527580455149
NASDAQ,2001-04-17,2001-04-25,-0.01419836252461395
SP500,2001-04-17,2001-04-25,0.093474225982396006
NASDAQ,2001-04-24,2001-05-02,-0.060501240046991256
SP500,2001-04-24,2001-05-02,-0.069020040116373624
NASDAQ,2001-05-01,2001-05-09,-0.08130282323323143
SP500,2001-05-01,2001-05-09,-0.09852125350205021
NASDAQ,2001-05-08,2001-05-16,-0.092132879785771157
SP500,2001-05-08,2001-05-16,-0.042059063757761833
NASDAQ,2001-05-15,2001-05-23,-0.046637550427818308
SP500,2001-05-15,2001-05-23,0.064916643474669855
NASDAQ,2001-05-22,2001-05-30,-0.22987497685658881
SP500,2001-05-22,2001-05-30,0.030579964850615114
NASDAQ,2001-05-29,2001-06-06,-0.20672995843377678
SP500,2001-05-29,2001-06-06,0.028208049515590784
NASDAQ,2001-06-05,2001-06-13,-0.16146012941964014
SP500,2001-06-05,2001-06-13,0.038038954553021476
NASDAQ,2001-06-12,2001-06-20,-0.17347122167472928
SP500,2001-06-12,2001-06-20,-0.03922323595881811
NASDAQ,2001-06-19,2001-06-27,-0.0020335030289240922
SP500,2001-06-19,2001-06-27,-0.01920793833613892
NASDAQ,2001-06-26,2001-07-04,0.085639291751935229
SP500,2001-06-26,2001-07-04,0.038975931728781922
NASDAQ,2001-07-03,2001-07-11,0.04756225059268749
SP500,2001-07-03,2001-07-11,0.0041962107711169252
NASDAQ,2001-07-10,2001-07-18,-0.01313394346968701
SP500,2001-07-10,2001-07-18,-0.10818220895244955
NASDAQ,2001-07-17,2001-07-25,0.049072845466810879
SP500,2001-07-17,2001-07-25,-0.0088148873653281102
NASDAQ,2001-07-24,2001-08-01,0.081855246852267027
SP500,2001-07-24,2001-08-01,-0.064138471879901418
NASDAQ,2001-07-31,2001-08-08,0.075172690323874095
SP500,2001-07-31,2001-08-08,-0.0052598955104932255
NASDAQ,2001-08-07,2001-08-15,0.049079191224350088
SP500,2001-08-07,2001-08-15,-0.11213651401706425
NASDAQ,2001-08-14,2001-08-22,0.089785306160576672
SP500,2001-08-14,2001-08-22,-0.025968912767091828
NASDAQ,2001-08-21,2001-08-29,0.093655829280454406
SP500,2001-08-21,2001-08-29,-0.00016812865497076025
NASDAQ,2001-08-28,2001-09-05,0.050902790704334254
SP500,2001-08-28,2001-09-05,0.014002991351093577
NASDAQ,2001-09-04,2001-09-12,0.031283637865319909
SP500,2001-09-04,2001-09-12,0.041609214568355708
NASDAQ,2001-09-10,2001-09-18,0.083099029718894366
SP500,2001-09-10,2001-09-18,0.1065058915226262
NASDAQ,2001-09-18,2001-09-26,0.069897197319691004
SP500,2001-09-18,2001-09-26,0.11596366032656141
NASDAQ,2001-09-25,2001-10-03,0.091639230817623249
SP500,2001-09-25,2001-10-03,0.06679565999854363
NASDAQ,2001-10-02,2001-10-10,-0.011812679430211933
SP500,2001-10-02,2001-10-10,0.14860259032038173
NASDAQ,2001-10-09,2001-10-17,0.0082041490015858122
SP500,2001-10-09,2001-10-17,0.16626391205200639
NASDAQ,2001-10-16,2001-10-24,-0.027493875126828181
SP500,2001-10-16,2001-10-24,0.19067897018441338
NASDAQ,2001-10-23,2001-10-31,-0.032608311645489121
SP500,2001-10-23,2001-10-31,0.24998055785980922
NASDAQ,2001-10-30,2001-11-07,-0.011360224686455861
SP500,2001-10-30,2001-11-07,0.22833512896888269
NASDAQ,2001-11-06,2001-11-14,-0.091615418405446958
SP500,2001-11-06,2001-11-14,0.097629155184826594
NASDAQ,2001-11-13,2001-11-21,-0.054046826204730933
SP500,2001-11-13,2001-11-21,0.1089563607698644
NASDAQ,2001-11-20,2001-11-28,-0.092430285561067166
SP500,2001-11-20,2001-11-28,0.094211969725669767
NASDAQ,2001-11-27,2001-12-05,-0.11125762595872175
SP500,2001-11-27,2001-12-05,0.093098609826917769
NASDAQ,2001-12-04,2001-12-12,-0.077032265108915213
SP500,2001-12-04,2001-12-12,0.091534286999398876
NASDAQ,2001-12-11,2001-12-19,-0.047158107227218249
SP500,2001-12-11,2001-12-19,0.10580114331865276
NASDAQ,2001-12-18,2001-12-26,-0.048856978818764933
SP500,2001-12-18,2001-12-26,0.17933818888566075
NASDAQ,2001-12-21,2001-12-29,-0.062371361575021642
SP500,2001-12-21,2001-12-29,0.18802343262167948
NASDAQ,2001-12-28,2002-01-05,-0.065230848043714915
SP500,2001-12-28,2002-01-05,-0.10205715349529927
NASDAQ,2002-01-08,2002-01-16,-0.033405446678544157
SP500,2002-01-08,2002-01-16,-0.26852712354956054
NASDAQ,2002-01-15,2002-01-23,-0.0020468652391775325
SP500,2002-01-15,2002-01-23,0.16840354647458397
NASDAQ,2002-01-22,2002-01-30,-0.073800074204827815
SP500,2002-01-22,2002-01-30,0.045669844455594584
NASDAQ,2002-01-29,2002-02-06,-0.143577064702788
SP500,2002-01-29,2002-02-06,-0.02537707694789482
NASDAQ,2002-02-05,2002-02-13,-0.10749592898040658
SP500,2002-02-05,2002-02-13,0.11265172868680541
