policy,ledger_role,decision_date,fill_date,adjusted_open,equity_before_fill,equity,cash,shares,holding_exposure_for_return,target_exposure,new_exposure_after_fill,signed_share_delta,reference_price,fill_price,turnover,fees,slippage,margin_interest,trade_executed,daily_return,monetary_pnl,drawdown
union,strategy,2020-03-23,2020-03-24,57.058128667530212,153460.37532954515,153460.37532954515,0,2689.5444858301862,1,1,1,0,57.058128667530212,57.058128667530212,0,0,0,0,False,0.036303034661231193,5375.9152857592562,-0.27148302146793957
union,strategy,2020-03-24,2020-03-25,60.531937209108364,162803.33793737646,162640.5345994391,162640.5345994391,0,1,0,0,-2689.5444858301862,60.531937209108364,60.471405271899258,1,0,162.80333793737009,0,True,0.059821040123094971,9180.1592698939494,-0.22790237806481717
union,strategy,2020-03-25,2020-03-26,59.510791654399526,162640.5345994391,162478.0565428962,0,2730.2284514456546,0,1,1,2730.2284514456546,59.510791654399526,59.570302446053915,0.99900099900099903,0,162.47805654286896,0,True,-0.00099900099900096517,-162.4780565428955,-0.22867370436045675
union,strategy,2020-03-26,2020-03-27,61.014735711423008,166584.16739676433,166417.58322936756,166417.58322936756,0,1,0,0,-2730.2284514456546,61.014735711423008,60.953720975711583,1,0,166.58416739676798,0,True,0.024246515315939243,3939.5266864713631,-0.20997172951964593
union,strategy,2020-03-27,2020-03-30,60.529521124828726,166417.58322936756,166251.33189747008,0,2746.6156812080762,0,1,1,2746.6156812080762,60.529521124828726,60.590050645953546,0.99900099900099892,0,166.25133189744739,0,True,-0.0009990009990010762,-166.25133189748158,-0.21076096855109483
union,strategy,2020-03-30,2020-03-31,61.702735358357579,169473.70050869696,169473.70050869696,0,2746.6156812080762,1,1,1,0,61.702735358357579,61.702735358357579,0,0,0,0,False,0.019382513056882766,3222.368611226877,-0.19546353271903494
union,strategy,2020-03-31,2020-04-01,59.505961685625245,163440.00749110527,163440.00749110527,0,2746.6156812080762,1,1,1,0,59.505961685625245,59.505961685625245,0,0,0,0,False,-0.035602533015333893,-6033.6930175916932,-0.22410706885744558
union,strategy,2020-04-01,2020-04-02,58.018919512207745,159355.67413897903,159355.67413897903,0,2746.6156812080762,1,1,1,0,58.018919512207745,58.018919512207745,0,0,0,0,False,-0.024989801547509849,-4084.3333521262393,-0.24349647922881368
union,strategy,2020-04-02,2020-04-03,58.612768571398099,160986.74927722191,160986.74927722191,0,2746.6156812080762,1,1,1,0,58.612768571398099,58.612768571398099,0,0,0,0,False,0.010235438098177729,1631.0751382428862,-0.23575333427090683
union,strategy,2020-04-03,2020-04-06,60.568135335844495,166357.39029496349,166357.39029496349,0,2746.6156812080762,1,1,1,0,60.568135335844495,60.568135335844495,0,0,0,0,False,0.03336076442225222,5370.6410177415819,-0.21025748129502675
union,strategy,2020-04-06,2020-04-07,65.372064492994696,179551.93744940491,179551.93744940491,0,2746.6156812080762,1,1,1,0,65.372064492994696,65.372064492994696,0,0,0,0,False,0.079314463463550089,13194.547154441418,-0.14761947714958923
union,strategy,2020-04-07,2020-04-08,63.426346908973059,174207.7990219288,174207.7990219288,0,2746.6156812080762,1,1,1,0,63.426346908973059,63.426346908973059,0,0,0,0,False,-0.029763746932455204,-5344.1384274761076,-0.17298951532186257
union,strategy,2020-04-08,2020-04-09,64.865127385754121,178159.57604127171,178159.57604127171,0,2746.6156812080762,1,1,1,0,64.865127385754121,64.865127385754121,0,0,0,0,False,0.022684271551157487,3951.7770193429023,-0.15422938491176941
union,strategy,2020-04-09,2020-04-13,64.770974686260232,177900.97476041369,177900.97476041369,0,2746.6156812080762,1,1,1,0,64.770974686260232,64.770974686260232,0,0,0,0,False,-0.0014515149092974022,-258.60128085801261,-0.15545703356941565
union,strategy,2020-04-13,2020-04-14,67.592991705129478,185651.97095707606,185651.97095707606,0,2746.6156812080762,1,1,1,0,67.592991705129478,67.592991705129478,0,0,0,0,False,0.043569160917195315,7750.9961966623669,-0.11866100516351596
union,strategy,2020-04-14,2020-04-15,68.172350456301288,187243.24678808966,187243.24678808966,0,2746.6156812080762,1,1,1,0,68.172350456301288,68.172350456301288,0,0,0,0,False,0.0085712843381635651,1591.2758310135978,-0.11110679804046109
union,strategy,2020-04-15,2020-04-16,69.374538669075847,190545.1957850598,190545.1957850598,0,2746.6156812080762,1,1,1,0,69.374538669075847,69.374538669075847,0,0,0,0,False,0.017634542519480378,3301.948996970139,-0.095431573075228537
union,strategy,2020-04-16,2020-04-17,68.725161782722225,188761.60704598686,188761.60704598686,0,2746.6156812080762,1,1,1,0,68.725161782722225,68.725161782722225,0,0,0,0,False,-0.0093604497963037936,-1783.5887390729331,-0.10389874042277936
union,strategy,2020-04-17,2020-04-20,67.098111611518391,184292.72553164611,184292.72553164611,0,2746.6156812080762,1,1,1,0,67.098111611518391,67.098111611518391,0,0,0,0,False,-0.023674737592438655,-4468.8815143407555,-0.12511370259952381
union,strategy,2020-04-20,2020-04-21,66.694948442790675,183185.39125033302,183185.39125033302,0,2746.6156812080762,1,1,1,0,66.694948442790675,66.694948442790675,0,0,0,0,False,-0.0060085620749199542,-1107.3342813130876,-0.13037051122595145
union,strategy,2020-04-21,2020-04-22,66.050397261241571,181415.05686774908,181415.05686774908,0,2746.6156812080762,1,1,1,0,66.050397261241571,66.050397261241571,0,0,0,0,False,-0.0096641679257308821,-1770.3343825839402,-0.13877475663863137
union,strategy,2020-04-22,2020-04-23,66.595981789549484,182913.56788862409,182913.56788862409,0,2746.6156812080762,1,1,1,0,66.595981789549484,66.595981789549484,0,0,0,0,False,0.0082601248581446463,1498.511020875012,-0.13166092859748058
union,strategy,2020-04-23,2020-04-24,66.917041228655208,183795.39477867173,183795.39477867173,0,2746.6156812080762,1,1,1,0,66.917041228655208,66.917041228655208,0,0,0,0,False,0.0048210031668323161,881.82689004763961,-0.12747466318436484
union,strategy,2020-04-24,2020-04-27,68.027516800908472,186845.44439902107,186845.44439902107,0,2746.6156812080762,1,1,1,0,68.027516800908472,68.027516800908472,0,0,0,0,False,0.0165948098102362,3050.0496203493385,-0.11299527116529706
union,strategy,2020-04-27,2020-04-28,68.819321454348426,189020.22747661278,189020.22747661278,0,2746.6156812080762,1,1,1,0,68.819321454348426,68.819321454348426,0,0,0,0,False,0.011639476063153742,2174.78307759171,-0.10267100085612146
union,strategy,2020-04-28,2020-04-29,68.734834767282535,188788.17501706429,188788.17501706429,0,2746.6156812080762,1,1,1,0,68.734834767282535,68.734834767282535,0,0,0,0,False,-0.001227659402627701,-232.05245954848942,-0.10377261523917092
union,strategy,2020-04-29,2020-04-30,69.99735834734561,192255.84207996048,192255.84207996048,0,2746.6156812080762,1,1,1,0,69.99735834734561,69.99735834734561,0,0,0,0,False,0.01836803106223539,3467.6670628961874,-0.087310682797058004
union,strategy,2020-04-30,2020-05-01,69.101756792950695,189795.96880654508,189795.96880654508,0,2746.6156812080762,1,1,1,0,69.101756792950695,69.101756792950695,0,0,0,0,False,-0.012794790768398734,-2459.8732734154037,-0.098988351647222306
union,strategy,2020-05-01,2020-05-04,69.80665406694763,191732.0507129459,191732.0507129459,0,2746.6156812080762,1,1,1,0,69.80665406694763,69.80665406694763,0,0,0,0,False,0.010200858946452396,1936.0819064008247,-0.089797258913265177
union,strategy,2020-05-04,2020-05-05,71.228522446402707,195637.37670057113,195637.37670057113,0,2746.6156812080762,1,1,1,0,71.228522446402707,71.228522446402707,0,0,0,0,False,0.020368665401029551,3905.3259876252268,-0.071257643832969508
union,strategy,2020-05-05,2020-05-06,72.532101164558796,199217.80644954776,199217.80644954776,0,2746.6156812080762,1,1,1,0,72.532101164558796,72.532101164558796,0,0,0,0,False,0.018301358407890378,3580.4297489766323,-0.054260397104167968
union,strategy,2020-05-06,2020-05-07,73.198371144857916,201047.79402535551,201047.79402535551,0,2746.6156812080762,1,1,1,0,73.198371144857916,73.198371144857916,0,0,0,0,False,0.0091858634949442131,1829.9875758077542,-0.045572962210204238
union,strategy,2020-05-07,2020-05-08,73.982311540766176,203200.97700988961,203200.97700988961,0,2746.6156812080762,1,1,1,0,73.982311540766176,73.982311540766176,0,0,0,0,False,0.010709806566007618,2153.1829845340981,-0.035351233254107828
union,strategy,2020-05-08,2020-05-11,74.577766635724728,204836.463311158,204836.463311158,0,2746.6156812080762,1,1,1,0,74.577766635724728,74.577766635724728,0,0,0,0,False,0.0080486143587232828,1635.4863012683927,-0.027587147338952178
union,strategy,2020-05-11,2020-05-12,76.932969006568555,211305.29907533611,211305.29907533611,0,2746.6156812080762,1,1,1,0,76.932969006568555,76.932969006568555,0,0,0,0,False,0.031580489428542746,6468.835764178104,0
union,strategy,2020-05-12,2020-05-13,75.558074931863544,207528.99344975126,207528.99344975126,0,2746.6156812080762,1,1,1,0,75.558074931863544,75.558074931863544,0,0,0,0,False,-0.017871324770887487,-3776.3056255848496,-0.017871324770887487
union,strategy,2020-05-13,2020-05-14,73.708784075218105,202449.70218377418,202449.70218377418,0,2746.6156812080762,1,1,1,0,73.708784075218105,73.708784075218105,0,0,0,0,False,-0.024475092282500444,-5079.2912659770809,-0.041909014730409866
union,strategy,2020-05-14,2020-05-15,72.701801906455358,199683.90916835351,199683.90916835351,0,2746.6156812080762,1,1,1,0,72.701801906455358,72.701801906455358,0,0,0,0,False,-0.013661630447398765,-2765.7930154206697,-0.054998099706147219
union,strategy,2020-05-15,2020-05-18,75.804989306332317,208207.17234258287,208207.17234258287,0,2746.6156812080762,1,1,1,0,75.804989306332317,75.804989306332317,0,0,0,0,False,0.042683775621817466,8523.2631742293597,-0.014661850631813467
union,strategy,2020-05-18,2020-05-19,76.255205687199137,209443.74371420842,209443.74371420842,0,2746.6156812080762,1,1,1,0,76.255205687199137,76.255205687199137,0,0,0,0,False,0.0059391391646725911,1236.5713716255559,-0.008809790238454851
union,strategy,2020-05-19,2020-05-20,76.654608437561237,210540.7495714706,210540.7495714706,0,2746.6156812080762,1,1,1,0,76.654608437561237,76.654608437561237,0,0,0,0,False,0.0052377112718109409,1097.0058572621783,-0.0036182221042782015
union,strategy,2020-05-20,2020-05-21,77.133877544378649,211857.1176157739,211857.1176157739,0,2746.6156812080762,1,1,1,0,77.133877544378649,77.133877544378649,0,0,0,0,False,0.006252319548508245,1316.3680443032936,0
union,strategy,2020-05-21,2020-05-22,76.434328340019647,209935.72480130484,209935.72480130484,0,2746.6156812080762,1,1,1,0,76.434328340019647,76.434328340019647,0,0,0,0,False,-0.0090692861117543933,-1921.3928144690581,-0.0090692861117543933
union,strategy,2020-05-22,2020-05-26,78.305425201970706,215074.90878339883,215074.90878339883,0,2746.6156812080762,1,1,1,0,78.305425201970706,78.305425201970706,0,0,0,0,False,0.024479797266320436,5139.1839820939931,0
union,strategy,2020-05-26,2020-05-27,76.523894906492629,210181.72973729149,210181.72973729149,0,2746.6156812080762,1,1,1,0,76.523894906492629,76.523894906492629,0,0,0,0,False,-0.022751045548670912,-4893.1790461073397,-0.022751045548670912
