"id","market_and_exchange_names","report_date_as_yyyy_mm_dd","cftc_contract_market_code","open_interest_all","noncomm_positions_long_all","noncomm_positions_short_all"
"0511151170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2005-11-15T00:00:00.000","1170E1","14209","2938","2406"
"05111513874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2005-11-15T00:00:00.000","13874A","1144708","163546","309364"
"051115209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2005-11-15T00:00:00.000","209742","350316","147878","88213"
"0511221170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2005-11-22T00:00:00.000","1170E1","8111","4241","2988"
"05112213874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2005-11-22T00:00:00.000","13874A","1210541","209791","316772"
"051122209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2005-11-22T00:00:00.000","209742","421971","184072","128163"
"0511291170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2005-11-29T00:00:00.000","1170E1","8198","4241","3153"
"05112913874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2005-11-29T00:00:00.000","13874A","1246705","232185","269327"
"051129209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2005-11-29T00:00:00.000","209742","417975","185289","127759"
"0512061170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2005-12-06T00:00:00.000","1170E1","8428","4356","3473"
"05120613874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2005-12-06T00:00:00.000","13874A","1277369","271142","243577"
"051206209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2005-12-06T00:00:00.000","209742","418872","173469","114490"
"0512131170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2005-12-13T00:00:00.000","1170E1","8732","4386","3601"
"05121313874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2005-12-13T00:00:00.000","13874A","1502276","294630","255096"
"051213209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2005-12-13T00:00:00.000","209742","502412","170799","114970"
"0512201170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2005-12-20T00:00:00.000","1170E1","7682","4282","3011"
"05122013874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2005-12-20T00:00:00.000","13874A","1013365","195126","262901"
"051220209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2005-12-20T00:00:00.000","209742","282498","125572","85020"
"0512271170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2005-12-27T00:00:00.000","1170E1","8241","4415","3369"
"05122713874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2005-12-27T00:00:00.000","13874A","1039230","155209","248706"
"051227209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2005-12-27T00:00:00.000","209742","274778","113257","88141"
"0601031170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2006-01-03T00:00:00.000","1170E1","8669","4379","3449"
"06010313874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2006-01-03T00:00:00.000","13874A","1066114","202214","281600"
"060103209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2006-01-03T00:00:00.000","209742","321543","112799","104710"
"0601101170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2006-01-10T00:00:00.000","1170E1","8873","4447","3752"
"06011013874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2006-01-10T00:00:00.000","13874A","1140746","191126","318972"
"060110209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2006-01-10T00:00:00.000","209742","347773","109431","128717"
"0601171170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2006-01-17T00:00:00.000","1170E1","14118","3372","3570"
"06011713874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2006-01-17T00:00:00.000","13874A","1151070","184738","325812"
"060117209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2006-01-17T00:00:00.000","209742","350798","117973","95738"
"0601241170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2006-01-24T00:00:00.000","1170E1","14792","3326","3595"
"06012413874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2006-01-24T00:00:00.000","13874A","1151254","198593","355078"
"060124209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2006-01-24T00:00:00.000","209742","355224","109579","95226"
"0601311170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2006-01-31T00:00:00.000","1170E1","19476","3055","3691"
"06013113874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2006-01-31T00:00:00.000","13874A","1216719","237561","361937"
"060131209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2006-01-31T00:00:00.000","209742","358854","111717","83973"
"0602071170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2006-02-07T00:00:00.000","1170E1","23241","3988","5507"
"06020713874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2006-02-07T00:00:00.000","13874A","1183852","239465","434355"
"060207209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2006-02-07T00:00:00.000","209742","357859","111006","94106"
"0602141170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2006-02-14T00:00:00.000","1170E1","25764","2078","4287"
"06021413874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2006-02-14T00:00:00.000","13874A","1156131","224169","413121"
"060214209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2006-02-14T00:00:00.000","209742","346652","106205","103366"
"0602211170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2006-02-21T00:00:00.000","1170E1","18540","2048","5158"
"06022113874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2006-02-21T00:00:00.000","13874A","1203221","222747","431755"
"060221209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2006-02-21T00:00:00.000","209742","382881","109064","131814"
"0602281170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2006-02-28T00:00:00.000","1170E1","19819","2211","5182"
"06022813874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2006-02-28T00:00:00.000","13874A","1220242","252103","434187"
"060228209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2006-02-28T00:00:00.000","209742","372376","105782","109785"
"0603071170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2006-03-07T00:00:00.000","1170E1","19609","2740","5401"
"06030713874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2006-03-07T00:00:00.000","13874A","1351728","247771","397818"
"060307209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2006-03-07T00:00:00.000","209742","408491","113763","124100"
"0603141170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2006-03-14T00:00:00.000","1170E1","20164","3119","5729"
"06031413874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2006-03-14T00:00:00.000","13874A","1703932","257022","388229"
"060314209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2006-03-14T00:00:00.000","209742","482497","116396","103456"
"0603211170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2006-03-21T00:00:00.000","1170E1","21139","3165","6279"
"06032113874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2006-03-21T00:00:00.000","13874A","1181330","219294","282984"
"060321209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2006-03-21T00:00:00.000","209742","225674","75475","105640"
"0603281170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2006-03-28T00:00:00.000","1170E1","24180","3309","6561"
"06032813874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2006-03-28T00:00:00.000","13874A","1141244","162646","301486"
"060328209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2006-03-28T00:00:00.000","209742","249385","70125","122330"
"0604041170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2006-04-04T00:00:00.000","1170E1","26642","3376","7001"
"06040413874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2006-04-04T00:00:00.000","13874A","1151679","202834","315377"
"060404209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2006-04-04T00:00:00.000","209742","286260","106121","113474"
"0604111170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2006-04-11T00:00:00.000","1170E1","28244","4899","6918"
"06041113874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2006-04-11T00:00:00.000","13874A","1179131","173993","372905"
"060411209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2006-04-11T00:00:00.000","209742","291463","97794","114773"
"0604181170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2006-04-18T00:00:00.000","1170E1","28107","5896","6406"
"06041813874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2006-04-18T00:00:00.000","13874A","1201932","189188","378535"
"060418209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2006-04-18T00:00:00.000","209742","318212","116103","110468"
"0604251170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2006-04-25T00:00:00.000","1170E1","26923","6099","6615"
"06042513874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2006-04-25T00:00:00.000","13874A","1265060","198252","438196"
"060425209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2006-04-25T00:00:00.000","209742","323881","111860","118084"
"0605021170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2006-05-02T00:00:00.000","1170E1","27618","6737","6965"
"06050213874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2006-05-02T00:00:00.000","13874A","1307160","213579","425888"
"060502209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2006-05-02T00:00:00.000","209742","355396","106799","138043"
"0605091170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2006-05-09T00:00:00.000","1170E1","30193","7158","8192"
"06050913874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2006-05-09T00:00:00.000","13874A","1361264","247863","432321"
"060509209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2006-05-09T00:00:00.000","209742","358800","96900","132394"
