"id","market_and_exchange_names","report_date_as_yyyy_mm_dd","cftc_contract_market_code","open_interest_all","noncomm_positions_long_all","noncomm_positions_short_all"
"051011209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2005-10-11T00:00:00.000","209742","346981","99262","157029"
"0510181170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2005-10-18T00:00:00.000","1170E1","13038","5336","1267"
"05101813874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2005-10-18T00:00:00.000","13874A","1050108","152417","302426"
"051018209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2005-10-18T00:00:00.000","209742","412587","73884","206003"
"0510251170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2005-10-25T00:00:00.000","1170E1","11914","5184","1291"
"05102513874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2005-10-25T00:00:00.000","13874A","1119100","140596","362717"
"051025209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2005-10-25T00:00:00.000","209742","403547","70935","185213"
"0511011170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2005-11-01T00:00:00.000","1170E1","12390","5241","1252"
"05110113874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2005-11-01T00:00:00.000","13874A","1107973","161135","307586"
"051101209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2005-11-01T00:00:00.000","209742","375609","68630","138627"
"0511081170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2005-11-08T00:00:00.000","1170E1","12253","5132","1855"
"05110813874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2005-11-08T00:00:00.000","13874A","1136772","164015","331866"
"051108209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2005-11-08T00:00:00.000","209742","348468","109127","94421"
