strategy_decision_date,strategy_fill_date,strategy_adjusted_open,strategy_equity_before_fill,strategy_equity,strategy_cash,strategy_shares,strategy_holding_exposure_for_return,strategy_target_exposure,strategy_new_exposure_after_fill,strategy_signed_share_delta,strategy_reference_price,strategy_fill_price,strategy_turnover,strategy_fees,strategy_slippage,strategy_margin_interest,strategy_trade_executed,strategy_daily_return,strategy_monetary_pnl,strategy_drawdown,buy_hold_decision_date,buy_hold_fill_date,buy_hold_adjusted_open,buy_hold_equity_before_fill,buy_hold_equity,buy_hold_cash,buy_hold_shares,buy_hold_holding_exposure_for_return,buy_hold_target_exposure,buy_hold_new_exposure_after_fill,buy_hold_signed_share_delta,buy_hold_reference_price,buy_hold_fill_price,buy_hold_turnover,buy_hold_fees,buy_hold_slippage,buy_hold_margin_interest,buy_hold_trade_executed,buy_hold_daily_return,buy_hold_monetary_pnl,buy_hold_drawdown,active_daily_return
2025-04-08,2025-04-09,171.04623198,770.880967982,770.495720122,0,4.5046050486,0,1,1,4.5046050486,171.04623198,171.131755096,0.999500249875,0,0.385247860061,0,True,-0.000499750124938,-0.385247860061,-0.229504279878,2025-04-08,2025-04-09,171.04623198,691.170346653,691.170346653,0,4.04083936052,1,1,1,0,171.04623198,171.04623198,0,0,0,0,False,-0.079003671595,-59.2890475228,-0.308829653347,0.0785039214701
2025-04-09,2025-04-10,188.076263584,847.209286463,846.78568182,846.78568182,0,1,0,0,-4.5046050486,188.076263584,187.982225452,1,0,0.423604643231,0,True,0.0990141277955,76.289961698,-0.15321431818,2025-04-09,2025-04-10,188.076263584,759.985968669,759.985968669,0,4.04083936052,1,1,1,0,188.076263584,188.076263584,0,0,0,0,False,0.0995639097504,68.8156220163,-0.240014031331,-0.000549781954875
2025-04-10,2025-04-11,185.12186727,846.78568182,846.78568182,846.78568182,0,0,0,0,0,185.12186727,185.12186727,0,0,0,0,False,0,0,-0.15321431818,2025-04-10,2025-04-11,185.12186727,748.047727755,748.047727755,0,4.04083936052,1,1,1,0,185.12186727,185.12186727,0,0,0,0,False,-0.015708501744,-11.9382409142,-0.251952272245,0.015708501744
2025-04-11,2025-04-14,210.328665454,846.78568182,846.78568182,846.78568182,0,0,0,0,0,210.328665454,210.328665454,0,0,0,0,False,0,0,-0.15321431818,2025-04-11,2025-04-14,210.328665454,849.904350013,849.904350013,0,4.04083936052,1,1,1,0,210.328665454,210.328665454,0,0,0,0,False,0.1361632667,101.856622258,-0.150095649987,-0.1361632667
2025-04-14,2025-04-15,200.799018069,846.78568182,846.362500569,0,4.21497330369,0,1,1,4.21497330369,200.799018069,200.899417578,0.999500249875,0,0.423181250285,0,True,-0.000499750124938,-0.423181250285,-0.153637499431,2025-04-14,2025-04-15,200.799018069,811.396575767,811.396575767,0,4.04083936052,1,1,1,0,200.799018069,200.799018069,0,0,0,0,False,-0.0453083623419,-38.5077742463,-0.188603424233,0.0448086122169
2025-04-15,2025-04-16,197.317431428,831.687705824,831.687705824,0,4.21497330369,1,1,1,0,197.317431428,197.317431428,0,0,0,0,False,-0.0173386636763,-14.6747947456,-0.168312294176,2025-04-15,2025-04-16,197.317431428,797.328043431,797.328043431,0,4.04083936052,1,1,1,0,197.317431428,197.317431428,0,0,0,0,False,-0.0173386636763,-14.0685323353,-0.202671956569,1.11022302463e-16
2025-04-16,2025-04-17,196.163501252,826.823920938,826.823920938,0,4.21497330369,1,1,1,0,196.163501252,196.163501252,0,0,0,0,False,-0.00584809039715,-4.86378488586,-0.173176079062,2025-04-16,2025-04-17,196.163501252,792.665196957,792.665196957,0,4.04083936052,1,1,1,0,196.163501252,196.163501252,0,0,0,0,False,-0.00584809039715,-4.66284647417,-0.207334803043,0
2025-04-17,2025-04-21,192.254182582,810.346247107,810.346247107,0,4.21497330369,1,1,1,0,192.254182582,192.254182582,0,0,0,0,False,-0.0199288789472,-16.477673831,-0.189653752893,2025-04-17,2025-04-21,192.254182582,776.868268201,776.868268201,0,4.04083936052,1,1,1,0,192.254182582,192.254182582,0,0,0,0,False,-0.0199288789472,-15.7969287558,-0.223131731799,0
2025-04-21,2025-04-22,195.089186718,822.295713856,822.295713856,0,4.21497330369,1,1,1,0,195.089186718,195.089186718,0,0,0,0,False,0.014746124625,11.9494667492,-0.177704286144,2025-04-21,2025-04-22,195.089186718,788.324064502,788.324064502,0,4.04083936052,1,1,1,0,195.089186718,195.089186718,0,0,0,0,False,0.014746124625,11.4557963001,-0.211675935498,0
2025-04-22,2025-04-23,204.917263209,863.720793891,863.720793891,0,4.21497330369,1,1,1,0,204.917263209,204.917263209,0,0,0,0,False,0.050377351282,41.4250800346,-0.136279206109,2025-04-22,2025-04-23,204.917263209,828.037742823,828.037742823,0,4.04083936052,1,1,1,0,204.917263209,204.917263209,0,0,0,0,False,0.050377351282,39.7136783215,-0.171962257177,-2.22044604925e-16
2025-04-23,2025-04-24,203.813090777,859.06673657,859.06673657,0,4.21497330369,1,1,1,0,203.813090777,203.813090777,0,0,0,0,False,-0.00538838170163,-4.65405732112,-0.14093326343,2025-04-23,2025-04-24,203.813090777,823.575959401,823.575959401,0,4.04083936052,1,1,1,0,203.813090777,203.813090777,0,0,0,0,False,-0.00538838170163,-4.46178342169,-0.176424040599,-1.11022302463e-16
2025-04-24,2025-04-25,205.285299463,865.272056876,865.272056876,0,4.21497330369,1,1,1,0,205.285299463,205.285299463,0,0,0,0,False,0.00722332741108,6.20532030621,-0.134727943124,2025-04-24,2025-04-25,205.285299463,829.524918204,829.524918204,0,4.04083936052,1,1,1,0,205.285299463,205.285299463,0,0,0,0,False,0.00722332741108,5.94895880265,-0.170475081796,2.22044604925e-16
2025-04-25,2025-04-28,208.896243647,880.492090213,880.492090213,0,4.21497330369,1,1,1,0,208.896243647,208.896243647,0,0,0,0,False,0.0175898819528,15.2200333375,-0.119507909787,2025-04-25,2025-04-28,208.896243647,844.116163592,844.116163592,0,4.04083936052,1,1,1,0,208.896243647,208.896243647,0,0,0,0,False,0.0175898819528,14.5912453881,-0.155883836408,-2.22044604925e-16
2025-04-28,2025-04-29,207.593124938,874.999479642,874.999479642,0,4.21497330369,1,1,1,0,207.593124938,207.593124938,0,0,0,0,False,-0.00623811460889,-5.49261057097,-0.125000520358,2025-04-28,2025-04-29,207.593124938,838.85047022,838.85047022,0,4.04083936052,1,1,1,0,207.593124938,207.593124938,0,0,0,0,False,-0.00623811460889,-5.26569337171,-0.16114952978,-1.11022302463e-16
2025-04-29,2025-04-30,208.199924616,877.557124089,877.557124089,0,4.21497330369,1,1,1,0,208.199924616,208.199924616,0,0,0,0,False,0.00292302396272,2.55764444636,-0.122442875911,2025-04-29,2025-04-30,208.199924616,841.302450246,841.302450246,0,4.04083936052,1,1,1,0,208.199924616,208.199924616,0,0,0,0,False,0.00292302396272,2.45198002559,-0.158697549754,0
2025-04-30,2025-05-01,207.981086552,876.634727488,876.634727488,0,4.21497330369,1,1,1,0,207.981086552,207.981086552,0,0,0,0,False,-0.00105109579213,-0.922396600485,-0.123365272512,2025-04-30,2025-05-01,207.981086552,840.418160781,840.418160781,0,4.04083936052,1,1,1,0,207.981086552,207.981086552,0,0,0,0,False,-0.00105109579213,-0.884289465364,-0.159581839219,0
2025-05-01,2025-05-02,205.006776466,864.09808988,864.09808988,0,4.21497330369,1,1,1,0,205.006776466,205.006776466,0,0,0,0,False,-0.0143008680983,-12.5366376082,-0.13590191012,2025-05-01,2025-05-02,205.006776466,828.399451516,828.399451516,0,4.04083936052,1,1,1,0,205.006776466,205.006776466,0,0,0,0,False,-0.0143008680983,-12.0187092647,-0.171600548484,0
2025-05-02,2025-05-05,202.032513959,851.561652816,851.561652816,0,4.21497330369,1,1,1,0,202.032513959,202.032513959,0,0,0,0,False,-0.0145081180145,-12.5364370641,-0.148438347184,2025-05-02,2025-05-05,202.032513959,816.38093451,816.38093451,0,4.04083936052,1,1,1,0,202.032513959,202.032513959,0,0,0,0,False,-0.0145081180145,-12.0185170057,-0.18361906549,-1.11022302463e-16
2025-05-05,2025-05-06,197.168217967,831.058775066,831.058775066,0,4.21497330369,1,1,1,0,197.168217967,197.168217967,0,0,0,0,False,-0.0240767978247,-20.5028777501,-0.168941224934,2025-05-05,2025-05-06,197.168217967,796.725095802,796.725095802,0,4.04083936052,1,1,1,0,197.168217967,197.168217967,0,0,0,0,False,-0.0240767978247,-19.6558387081,-0.203274904198,0
2025-05-06,2025-05-07,198.123156456,835.083815307,835.083815307,0,4.21497330369,1,1,1,0,198.123156456,198.123156456,0,0,0,0,False,0.00484326784309,4.025040241,-0.164916184693,2025-05-06,2025-05-07,198.123156456,800.583848838,800.583848838,0,4.04083936052,1,1,1,0,198.123156456,198.123156456,0,0,0,0,False,0.00484326784309,3.85875303628,-0.199416151162,0
2025-05-07,2025-05-08,196.680782717,829.004248502,829.004248502,0,4.21497330369,1,1,1,0,196.680782717,196.680782717,0,0,0,0,False,-0.00728018756143,-6.07956680495,-0.170995751498,2025-05-07,2025-05-08,196.680782717,794.75544826,794.75544826,0,4.04083936052,1,1,1,0,196.680782717,196.680782717,0,0,0,0,False,-0.00728018756143,-5.82840057819,-0.20524455174,1.11022302463e-16
2025-05-08,2025-05-09,197.954042092,834.371002776,834.371002776,0,4.21497330369,1,1,1,0,197.954042092,197.954042092,0,0,0,0,False,0.00647373554877,5.36675427361,-0.165628997224,2025-05-08,2025-05-09,197.954042092,799.900484858,799.900484858,0,4.04083936052,1,1,1,0,197.954042092,197.954042092,0,0,0,0,False,0.00647373554877,5.14503659798,-0.200099515142,0
