decision_date,event_date,event_time,side,reference_price,fill_price,signed_share_delta,cash_after,shares_after,equity_at_reference_after,target_exposure_after,slippage
2008-09-11,2008-09-12,open,sell,4.517555340209445,4.513037784869236,-1144.422223850325,5164.820738080596,0.0,5164.820738080596,0.0,5.169990728809188
2008-09-11,2008-09-12,close,buy,4.458582401275635,4.46304098367691,1157.242507288275,0.0,1157.242507288275,5159.661077003593,1.0,5.159661077003182
2008-09-16,2008-09-17,open,sell,4.145756709884997,4.141610953175111,-1157.242507288275,4792.848243664948,0.0,4792.848243664948,0.0,4.79764588955481
2008-09-16,2008-09-17,close,buy,3.8266453742980957,3.8304720196723934,1251.2422017573865,0.0,1251.2422017573865,4788.060183481468,1.0,4.78806018348093
2008-09-26,2008-09-29,open,sell,3.5808764999701865,3.5772956234702162,-1251.2422017573865,4476.063252247936,0.0,4476.063252247936,0.0,4.4805437960441195
2008-09-26,2008-09-29,close,buy,3.151003837585449,3.1541548414230345,1419.1006711098898,0.0,1419.1006711098898,4471.591660587349,1.0,4.471591660587087
2008-09-30,2008-10-01,open,sell,3.350372462204145,3.347022089741941,-1419.1006711098898,4749.761293772414,0.0,4749.761293772414,0.0,4.754515809581694
2008-09-30,2008-10-01,close,buy,3.2665531635284424,3.2698197166919702,1452.6064753740245,0.0,1452.6064753740245,4745.01627749492,1.0,4.745016277494079
2008-10-06,2008-10-07,open,sell,3.0079120048844,3.004904092879516,-1452.6064753740245,4364.943143194694,0.0,4364.943143194694,0.0,4.369312455650142
2008-10-06,2008-10-07,close,buy,2.66904354095459,2.6717125844955443,1633.7622424377864,0.0,1633.7622424377864,4360.58256063406,1.0,4.3605825606338
2008-10-08,2008-10-09,open,sell,2.7944727915869674,2.7916783187953804,-1633.7622424377864,4560.93863028009,0.0,4560.93863028009,0.0,4.565504134414485
2008-10-08,2008-10-09,close,buy,2.65647029876709,2.6591267690658564,1715.2016531661388,0.0,1715.2016531661388,4556.38224803206,1.0,4.5563822480312
2008-10-10,2008-10-13,open,sell,3.1297488954613892,3.1266191465659277,-1715.2016531661388,5362.782329010781,0.0,5362.782329010781,0.0,5.368150479490602
2008-10-10,2008-10-13,close,buy,3.3006796836853027,3.3039803633689875,1623.1277850400065,0.0,1623.1277850400065,5357.424904106675,1.0,5.357424904105775
2008-10-24,2008-10-27,open,sell,2.84595971047108,2.8431137507606086,-1623.1277850400065,4614.736924888852,0.0,4614.736924888852,0.0,4.619356281170383
2008-10-24,2008-10-27,close,buy,2.7567527294158936,2.759509482145309,1672.3033404115156,0.0,1672.3033404115156,4610.126798090761,1.0,4.610126798090013
2008-10-28,2008-10-29,open,sell,3.019286978250995,3.016267691272744,-1672.3033404115156,5044.11453569074,0.0,5044.11453569074,0.0,5.049163699390214
2008-10-28,2008-10-29,close,buy,3.129748821258545,3.132878570079803,1610.0574672328435,0.0,1610.0574672328435,5039.0754602305105,1.0,5.03907546023007
2008-11-13,2008-11-14,open,sell,2.8067456284506407,2.80393888282219,-1610.0574672328435,4514.502735952384,0.0,4514.502735952384,0.0,4.5190217577100675
2008-11-13,2008-11-14,close,buy,2.7013731002807617,2.7040744733810422,1669.5186395172286,0.0,1669.5186395172286,4509.992743209175,1.0,4.50999274320876
2008-11-24,2008-11-25,open,sell,2.8327889599513543,2.829956170991403,-1669.5186395172286,4724.664576486953,0.0,4724.664576486953,0.0,4.7293939704573456
2008-11-24,2008-11-25,close,buy,2.7181360721588135,2.720854208230972,1736.4637040066932,0.0,1736.4637040066932,4719.944631855097,1.0,4.719944631854814
2008-11-26,2008-11-28,open,sell,2.8348849453358684,2.8320500603905328,-1736.4637040066932,4917.752137798124,0.0,4917.752137798124,0.0,4.922674812610408
2008-11-26,2008-11-28,close,buy,2.774116039276123,2.776890155315399,1770.9566683380624,0.0,1770.9566683380624,4912.839298499624,1.0,4.912839298499442
2009-10-02,2009-10-05,open,sell,5.5739776345567735,5.568403656922217,-1770.9566683380624,9861.401588224453,0.0,9861.401588224453,0.0,9.871272861085002
