decision_date,event_date,event_time,side,reference_price,fill_price,signed_share_delta,cash_after,shares_after,equity_at_reference_after,target_exposure_after,slippage
2008-01-09,2008-01-10,close,buy,5.329104900360107,5.3317694528102875,1159.9043467960098,0.0,1159.9043467960098,6181.251938459605,1.0,3.0906259692297944
2008-01-22,2008-01-23,open,sell,4.076906259448839,4.074867806319115,-1159.9043467960098,4726.456881168662,0.0,4726.456881168662,0.0,2.3644106459075123
2008-01-22,2008-01-23,close,buy,4.163120269775391,4.165201829910278,1134.7485846251234,0.0,1134.7485846251234,4724.094833751787,1.0,2.362047416875514
2008-01-31,2008-02-01,open,sell,4.078403224355209,4.076364022743031,-1134.7485846251234,4625.648305224429,0.0,4625.648305224429,0.0,2.313981143183712
2008-01-31,2008-02-01,close,buy,4.003864288330078,4.005866220474243,1154.7186178066656,0.0,1154.7186178066656,4623.336636905977,1.0,2.3116683184522993
2008-02-08,2008-02-11,open,sell,3.8320330844897805,3.830117067947536,-1154.7186178066656,4422.707486738098,0.0,4422.707486738098,0.0,2.2124599733552666
2008-02-08,2008-02-11,close,buy,3.8751394748687744,3.8770770446062084,1140.7324218359217,0.0,1140.7324218359217,4420.497238119039,1.0,2.2102486190590493
2008-03-11,2008-03-12,open,sell,3.802998980034417,3.8010974805443998,-1140.7324218359217,4336.035134615833,0.0,4336.035134615833,0.0,2.169102118366926
2008-03-11,2008-03-12,close,buy,3.77276349067688,3.774649872422218,1148.7251218437832,0.0,1148.7251218437832,4333.868200515576,1.0,2.1669341002576084
2008-03-13,2008-03-14,open,sell,3.8880130287251067,3.8860690222107444,-1148.7251218437832,4464.025111032389,0.0,4464.025111032389,0.0,2.2331291200759744
2008-03-13,2008-03-14,close,buy,3.7901251316070557,3.792020194172859,1177.215542757971,0.0,1177.215542757971,4461.794213925426,1.0,2.230897106962571
2008-03-17,2008-03-18,open,sell,3.867057378841313,3.8651238501518925,-1177.215542757971,4550.083871083339,0.0,4550.083871083339,0.0,2.2761800255541766
2008-03-17,2008-03-18,close,buy,3.9760220050811768,3.9780100160837173,1143.809053442962,0.0,1143.809053442962,4547.809966100289,1.0,2.2739049830500835
