strategy_decision_date,strategy_fill_date,strategy_adjusted_open,strategy_equity_before_fill,strategy_equity,strategy_cash,strategy_shares,strategy_holding_exposure_for_return,strategy_target_exposure,strategy_new_exposure_after_fill,strategy_signed_share_delta,strategy_reference_price,strategy_fill_price,strategy_turnover,strategy_fees,strategy_slippage,strategy_margin_interest,strategy_trade_executed,strategy_daily_return,strategy_monetary_pnl,strategy_drawdown,buy_hold_decision_date,buy_hold_fill_date,buy_hold_adjusted_open,buy_hold_equity_before_fill,buy_hold_equity,buy_hold_cash,buy_hold_shares,buy_hold_holding_exposure_for_return,buy_hold_target_exposure,buy_hold_new_exposure_after_fill,buy_hold_signed_share_delta,buy_hold_reference_price,buy_hold_fill_price,buy_hold_turnover,buy_hold_fees,buy_hold_slippage,buy_hold_margin_interest,buy_hold_trade_executed,buy_hold_daily_return,buy_hold_monetary_pnl,buy_hold_drawdown,static_1_10_decision_date,static_1_10_fill_date,static_1_10_adjusted_open,static_1_10_equity_before_fill,static_1_10_equity,static_1_10_cash,static_1_10_shares,static_1_10_holding_exposure_for_return,static_1_10_target_exposure,static_1_10_new_exposure_after_fill,static_1_10_signed_share_delta,static_1_10_reference_price,static_1_10_fill_price,static_1_10_turnover,static_1_10_fees,static_1_10_slippage,static_1_10_margin_interest,static_1_10_trade_executed,static_1_10_daily_return,static_1_10_monetary_pnl,static_1_10_drawdown,active_daily_return
2024-07-22,2024-07-23,222.443087918,1213.63795592,1213.63715432,-121.363715432,6.00153901048,1.10132025903,1.1,1.1,-0.00720722882502,222.443087918,222.331866374,0.00132098557675,0,0.000801599117584,0.0269455707391,True,-0.0128148832484,-15.7545106531,-0.0564290731072,2024-07-22,2024-07-23,222.443087918,1201.43521572,1201.43521572,2.27373675443e-13,5.40109035064,1,1,1,0,222.443087918,222.443087918,0,0,0,0,False,-0.0116293758282,-14.1363384496,-0.0512094054717,2024-07-22,2024-07-23,222.443087918,1215.79491161,1215.79410859,-121.579410859,6.01220533291,1.10132025903,1.1,1.1,-0.0072200379772,222.443087918,222.331866374,0.00132098557675,0,0.000803023771266,0.0269934601463,True,-0.0128148832484,-15.7825105862,-0.0564290731072,-0.00118550742012
2024-07-23,2024-07-24,222.076278168,1211.40913103,1211.40900626,-121.140900626,6.00041534322,1.10020587809,1.1,1.1,-0.0011236672569,222.076278168,221.965240029,0.000205991383026,0,0.000124769921155,0.026600266396,True,-0.00183592604429,-2.22814805994,-0.0581613995465,2024-07-23,2024-07-24,222.076278168,1199.45404312,1199.45404312,2.27373675443e-13,5.40109035064,1,1,1,0,222.076278168,222.076278168,0,0,0,0,False,-0.00164900493588,-1.98117260086,-0.0527739658452,2024-07-23,2024-07-24,222.076278168,1213.56212551,1213.56200052,-121.356200052,6.0110796686,1.10020587809,1.1,1.1,-0.00112566431086,222.076278168,221.965240029,0.000205991383026,0,0.000124991670311,0.0266475421061,True,-0.00183592604429,-2.23210806846,-0.0581613995465,-0.000186921108417
2024-07-24,2024-07-25,217.049812896,1181.22157549,1181.220052,-118.1220052,5.98637722773,1.10257808913,1.1,1.1,-0.0140381154915,217.049812896,216.94128799,0.00257950786208,0,0.00152348517042,0.0265514302742,True,-0.0249205298111,-30.188954254,-0.0816325164664,2024-07-24,2024-07-25,217.049812896,1172.30565004,1172.30565004,2.27373675443e-13,5.40109035064,1,1,1,0,217.049812896,217.049812896,0,0,0,0,False,-0.0226339585352,-27.1483930769,-0.0742134406257,2024-07-24,2024-07-25,217.049812896,1183.3209187,1183.31939251,-118.331939251,5.99701660367,1.10257808913,1.1,1.1,-0.0140630649363,217.049812896,216.94128799,0.00257950786208,0,0.00152619280658,0.0265986191895,True,-0.0249205298111,-30.2426080117,-0.0816325164664,-0.00228657127594
2024-07-25,2024-07-26,216.821785168,1179.82910225,1179.82901971,-117.982901971,5.98561588578,1.10013983782,1.1,1.1,-0.000761341954326,216.821785168,216.713374275,0.000139914773543,0,8.25377608301e-05,0.0258897545645,True,-0.0011776233319,-1.39103229335,-0.0827140074423,2024-07-25,2024-07-26,216.821785168,1171.07405168,1171.07405168,2.27373675443e-13,5.40109035064,1,1,1,0,216.821785168,216.821785168,0,0,0,0,False,-0.00105057786243,-1.23159836394,-0.0751860514903,2024-07-25,2024-07-26,216.821785168,1181.92597067,1181.92588798,-118.192588798,5.99625390861,1.10013983782,1.1,1.1,-0.000762695060381,216.821785168,216.713374275,0.000139914773543,0,8.26844522652e-05,0.0259357675071,True,-0.0011776233319,-1.39350452571,-0.0827140074423,-0.000127045469471
2024-07-26,2024-07-29,215.096731897,1169.42593565,1169.4253764,-116.94253764,5.98041589333,1.10095592732,1.1,1.1,-0.00519999244363,215.096731897,214.989183531,0.000956453372904,0,0.000559250690256,0.0775777985564,True,-0.00881792457962,-10.4036433127,-0.0908025661426,2024-07-26,2024-07-29,215.096731897,1161.7568831,1161.7568831,2.27373675443e-13,5.40109035064,1,1,1,0,215.096731897,215.096731897,0,0,0,0,False,-0.00795608831365,-9.31716857699,-0.0825439529383,2024-07-26,2024-07-29,215.096731897,1171.50431489,1171.50375465,-117.150375465,5.9910446744,1.10095592732,1.1,1.1,-0.00520923420578,215.096731897,214.989183531,0.000956453372903,0,0.000560244626674,0.0777156748264,True,-0.00881792457962,-10.422133339,-0.0908025661426,-0.000861836265969
2024-07-29,2024-07-30,217.307563709,1182.62143887,1182.62079223,-118.262079223,5.98636719888,1.09890584175,1.1,1.1,0.00595130555225,217.307563709,217.416217491,0.00109355679505,0,0.000646631855224,0.0256312411266,True,0.0112836749575,13.1954158343,-0.0805434778268,2024-07-29,2024-07-30,217.307563709,1173.69778547,1173.69778547,2.27373675443e-13,5.40109035064,1,1,1,0,217.307563709,217.307563709,0,0,0,0,False,0.0102783142855,11.9409023679,-0.0731140513435,2024-07-29,2024-07-30,217.307563709,1184.72327001,1184.72262222,-118.472262222,5.997006557,1.09890584175,1.1,1.1,0.00596188259654,217.307563709,217.416217491,0.00109355679505,0,0.000647781091087,0.0256767946224,True,0.0112836749575,13.2188675789,-0.0805434778268,0.00100536067196
2024-07-30,2024-07-31,219.538256989,1195.94862086,1195.94796779,-119.594796779,5.9923167042,1.09890725874,1.1,1.1,0.00594950531923,219.538256989,219.648026117,0.0010921405861,0,0.000653072013865,0.0259204557202,True,0.0112691875893,13.3271755546,-0.0701819497982,2024-07-30,2024-07-31,219.538256989,1185.74596142,1185.74596142,2.27373675443e-13,5.40109035064,1,1,1,0,219.538256989,219.538256989,0,0,0,0,False,0.0102651432926,12.04817595,-0.0635994342647,2024-07-30,2024-07-31,219.538256989,1198.07413793,1198.0734837,-119.80734837,6.00296663616,1.09890725874,1.1,1.1,0.00596007916403,219.538256989,219.648026117,0.0010921405861,0,0.000654232695594,0.0259665232268,True,0.0112691875893,13.3508614711,-0.0701819497982,0.00100404429668
2024-07-31,2024-08-01,222.443106654,1213.3285344,1213.32767895,-121.332767895,6.00000812307,1.0985891339,1.1,1.1,0.00769141886376,222.443106654,222.554328208,0.00141009055513,0,0.000855451553317,0.0262125581981,True,0.014532163298,17.3797111639,-0.0566696820552,2024-07-31,2024-08-01,222.443106654,1201.43531692,1201.43531692,2.27373675443e-13,5.40109035064,1,1,1,0,222.443106654,222.443106654,0,0,0,0,False,0.013231633089,15.6893554983,-0.0512093255545,2024-07-31,2024-08-01,222.443106654,1215.48494018,1215.4840832,-121.54840832,6.01067172471,1.0985891339,1.1,1.1,0.00770508854972,222.443106654,222.554328208,0.00141009055513,0,0.000856971917024,0.0262591448481,True,0.014532163298,17.4105995081,-0.0566696820552,0.00130053020906
2024-08-01,2024-08-02,217.267938343,1182.25003356,1182.24846552,-118.224846552,5.98557395072,1.10265118032,1.1,1.1,-0.0144341723488,217.267938343,217.159304374,0.00265263927163,0,0.00156804143396,0.0265934833743,True,-0.0256148557148,-31.0792134311,-0.0808329520408,2024-08-01,2024-08-02,217.267938343,1173.48376529,1173.48376529,2.27373675443e-13,5.40109035064,1,1,1,0,217.267938343,217.267938343,0,0,0,0,False,-0.0232651323261,-27.9515516293,-0.0732830661453,2024-08-01,2024-08-02,217.267938343,1184.35120462,1184.34963379,-118.434963379,5.99621189902,1.10265118032,1.1,1.1,-0.0144598256914,217.267938343,217.159304374,0.00265263927163,0,0.00157082825839,0.0266407470291,True,-0.0256148557148,-31.1344494149,-0.0808329520408,-0.00234972338869
2024-08-02,2024-08-05,197.380211548,1063.13126919,1063.12527116,-106.312527116,5.92479757271,1.11127749401,1.1,1.1,-0.0607763780085,197.380211548,197.281521442,0.0112837000435,0,0.00599802717421,0.0777368854041,True,-0.100759863796,-119.123194358,-0.173448098599,2024-08-02,2024-08-05,197.380211548,1066.068356,1066.068356,2.27373675443e-13,5.40109035064,1,1,1,0,197.380211548,197.380211548,0,0,0,0,False,-0.0915354881494,-107.415409291,-0.158110553062,2024-08-02,2024-08-05,197.380211548,1065.02073469,1065.014726,-106.5014726,5.93532750531,1.11127749401,1.1,1.1,-0.0608843937097,197.380211548,197.281521442,0.0112837000435,0,0.00600868725518,0.0778750444135,True,-0.100759863796,-119.334907787,-0.173448098599,-0.0092243756462
