strategy_decision_date,strategy_fill_date,strategy_adjusted_open,strategy_equity_before_fill,strategy_equity,strategy_cash,strategy_shares,strategy_holding_exposure_for_return,strategy_target_exposure,strategy_new_exposure_after_fill,strategy_signed_share_delta,strategy_reference_price,strategy_fill_price,strategy_turnover,strategy_fees,strategy_slippage,strategy_margin_interest,strategy_trade_executed,strategy_daily_return,strategy_monetary_pnl,strategy_drawdown,buy_hold_decision_date,buy_hold_fill_date,buy_hold_adjusted_open,buy_hold_equity_before_fill,buy_hold_equity,buy_hold_cash,buy_hold_shares,buy_hold_holding_exposure_for_return,buy_hold_target_exposure,buy_hold_new_exposure_after_fill,buy_hold_signed_share_delta,buy_hold_reference_price,buy_hold_fill_price,buy_hold_turnover,buy_hold_fees,buy_hold_slippage,buy_hold_margin_interest,buy_hold_trade_executed,buy_hold_daily_return,buy_hold_monetary_pnl,buy_hold_drawdown,active_daily_return
2024-05-15,2024-05-16,188.834204252,1016.79196876,1016.79196876,0,5.38457517685,1,1,1,0,188.834204252,188.834204252,0,0,0,0,False,0.0136233274538,13.6659147116,-0.025750824496,2024-05-15,2024-05-16,188.834204252,1019.91051368,1019.91051368,0,5.40108990167,1,1,1,0,188.834204252,188.834204252,0,0,0,0,False,0.0136233274538,13.7078286628,-0.0227627601613,0
2024-05-16,2024-05-17,187.88245575,1011.6672074,1011.6672074,0,5.38457517685,1,1,1,0,187.88245575,187.88245575,0,0,0,0,False,-0.00504012769115,-5.12476135786,-0.0306611647435,2024-05-16,2024-05-17,187.88245575,1014.77003445,1014.77003445,0,5.40108990167,1,1,1,0,187.88245575,187.88245575,0,0,0,0,False,-0.00504012769115,-5.14047922247,-0.0276881606346,1.11022302463e-16
2024-05-17,2024-05-20,187.704031756,1010.70646999,1010.70646999,0,5.38457517685,1,1,1,0,187.704031756,187.704031756,0,0,0,0,False,-0.000949657555603,-0.960737407261,-0.0315817046924,2024-05-17,2024-05-20,187.704031756,1013.80635042,1013.80635042,0,5.40108990167,1,1,1,0,187.704031756,187.704031756,0,0,0,0,False,-0.000949657555603,-0.963684030418,-0.0286115239193,0
2024-05-20,2024-05-21,189.448900894,1020.10184903,1020.10184903,0,5.38457517685,1,1,1,0,189.448900894,189.448900894,0,0,0,0,False,0.00929585327022,9.39537904429,-0.022579430315,2024-05-20,2024-05-21,189.448900894,1023.2305455,1023.2305455,0,5.40108990167,1,1,1,0,189.448900894,189.448900894,0,0,0,0,False,0.00929585327022,9.42419507795,-0.0195816391773,2.22044604925e-16
2024-05-21,2024-05-22,190.618757807,1026.40103153,1026.40103153,0,5.38457517685,1,1,1,0,190.618757807,190.618757807,0,0,0,0,False,0.00617505252091,6.29918249447,-0.0165438069621,2024-05-21,2024-05-22,190.618757807,1029.54904786,1029.54904786,0,5.40108990167,1,1,1,0,190.618757807,190.618757807,0,0,0,0,False,0.00617505252091,6.31850235947,-0.0135275043067,0
2024-05-22,2024-05-23,189.339834518,1019.51457294,1019.51457294,0,5.38457517685,1,1,1,0,189.339834518,189.339834518,0,0,0,0,False,-0.00670932547999,-6.88645859353,-0.0231421346566,2024-05-22,2024-05-23,189.339834518,1022.6414682,1022.6414682,0,5.40108990167,1,1,1,0,189.339834518,189.339834518,0,0,0,0,False,-0.00670932547999,-6.90757965971,-0.0201460693574,-1.11022302463e-16
2024-05-23,2024-05-24,187.198408105,1007.98390143,1007.98390143,0,5.38457517685,1,1,1,0,187.198408105,187.198408105,0,0,0,0,False,-0.0113099624199,-11.5306715064,-0.0341903604032,2024-05-23,2024-05-24,187.198408105,1011.07543163,1011.07543163,0,5.40108990167,1,1,1,0,187.198408105,187.198408105,0,0,0,0,False,-0.0113099624199,-11.5660365744,-0.0312281804899,0
2024-05-24,2024-05-28,189.865303241,1022.34399877,1022.34399877,0,5.38457517685,1,1,1,0,189.865303241,189.865303241,0,0,0,0,False,0.0142463558452,14.360097346,-0.0204310925987,2024-05-24,2024-05-28,189.865303241,1025.47957201,1025.47957201,0,5.40108990167,1,1,1,0,189.865303241,189.865303241,0,0,0,0,False,0.0142463558452,14.4041403853,-0.0174267124164,0
2024-05-28,2024-05-29,187.9816241,1012.20118683,1012.20118683,0,5.38457517685,1,1,1,0,187.9816241,187.9816241,0,0,0,0,False,-0.00992113413454,-10.1428119435,-0.0301495271231,2024-05-28,2024-05-29,187.9816241,1015.30565163,1015.30565163,0,5.40108990167,1,1,1,0,187.9816241,187.9816241,0,0,0,0,False,-0.00992113413454,-10.1739203862,-0.0271749537995,-1.11022302463e-16
2024-05-29,2024-05-30,189.121739153,1018.34022205,1018.34022205,0,5.38457517685,1,1,1,0,189.121739153,189.121739153,0,0,0,0,False,0.00606503459528,6.13903521551,-0.0242673504528,2024-05-29,2024-05-30,189.121739153,1021.46351553,1021.46351553,0,5.40108990167,1,1,1,0,189.121739153,189.121739153,0,0,0,0,False,0.00606503459528,6.15786390189,-0.0212747362392,0
