strategy_decision_date,strategy_fill_date,strategy_adjusted_open,strategy_equity_before_fill,strategy_equity,strategy_cash,strategy_shares,strategy_holding_exposure_for_return,strategy_target_exposure,strategy_new_exposure_after_fill,strategy_signed_share_delta,strategy_reference_price,strategy_fill_price,strategy_turnover,strategy_fees,strategy_slippage,strategy_margin_interest,strategy_trade_executed,strategy_daily_return,strategy_monetary_pnl,strategy_drawdown,buy_hold_decision_date,buy_hold_fill_date,buy_hold_adjusted_open,buy_hold_equity_before_fill,buy_hold_equity,buy_hold_cash,buy_hold_shares,buy_hold_holding_exposure_for_return,buy_hold_target_exposure,buy_hold_new_exposure_after_fill,buy_hold_signed_share_delta,buy_hold_reference_price,buy_hold_fill_price,buy_hold_turnover,buy_hold_fees,buy_hold_slippage,buy_hold_margin_interest,buy_hold_trade_executed,buy_hold_daily_return,buy_hold_monetary_pnl,buy_hold_drawdown,active_daily_return
2025-07-02,2025-07-03,211.311669313,951.79358827,951.79358827,0,4.50421688194,1,1,1,0,211.311669313,211.311669313,0,0,0,0,False,0.0155089108537,14.53584676,-0.0482064117297,2025-07-02,2025-07-03,211.311669313,852.598252446,852.598252446,0,4.0347901998,1,1,1,0,211.311669313,211.311669313,0,0,0,0,False,0.0155089108537,13.0209298509,-0.147401747554,2.22044604925e-16
2025-07-03,2025-07-07,211.839569241,954.171364038,954.171364038,0,4.50421688194,1,1,1,0,211.839569241,211.839569241,0,0,0,0,False,0.0024982052802,2.37777576787,-0.0458286359618,2025-07-03,2025-07-07,211.839569241,854.728217902,854.728217902,0,4.0347901998,1,1,1,0,211.839569241,211.839569241,0,0,0,0,False,0.0024982052802,2.12996545615,-0.145271782098,-2.22044604925e-16
2025-07-07,2025-07-08,209.269785916,942.596502606,942.596502606,0,4.50421688194,1,1,1,0,209.269785916,209.269785916,0,0,0,0,False,-0.0121307994232,-11.5748614325,-0.0574034973943,2025-07-07,2025-07-08,209.269785916,844.359681329,844.359681329,0,4.0347901998,1,1,1,0,209.269785916,209.269785916,0,0,0,0,False,-0.0121307994232,-10.3685365727,-0.155640318671,-1.11022302463e-16
2025-07-08,2025-07-09,208.702025489,940.039186502,940.039186502,0,4.50421688194,1,1,1,0,208.702025489,208.702025489,0,0,0,0,False,-0.00271305494627,-2.55731610373,-0.059960813498,2025-07-08,2025-07-09,208.702025489,842.068887119,842.068887119,0,4.0347901998,1,1,1,0,208.702025489,208.702025489,0,0,0,0,False,-0.00271305494627,-2.29079420986,-0.157931112881,0
2025-07-09,2025-07-10,209.678177324,944.435986078,944.435986078,0,4.50421688194,1,1,1,0,209.678177324,209.678177324,0,0,0,0,False,0.00467725137316,4.39679957589,-0.0555640139221,2025-07-09,2025-07-10,209.678177324,846.007454978,846.007454978,0,4.0347901998,1,1,1,0,209.678177324,209.678177324,0,0,0,0,False,0.00467725137316,3.93856785857,-0.153992545022,2.22044604925e-16
2025-07-10,2025-07-11,209.737942326,944.705180608,944.705180608,0,4.50421688194,1,1,1,0,209.737942326,209.737942326,0,0,0,0,False,0.000285032055128,0.269194530049,-0.0552948193921,2025-07-10,2025-07-11,209.737942326,846.248594221,846.248594221,0,4.0347901998,1,1,1,0,209.737942326,209.737942326,0,0,0,0,False,0.000285032055128,0.241139243546,-0.153751405779,0
2025-07-11,2025-07-14,209.100460178,941.833822756,941.833822756,0,4.50421688194,1,1,1,0,209.100460178,209.100460178,0,0,0,0,False,-0.00303942215102,-2.87135785212,-0.0581661772442,2025-07-11,2025-07-14,209.100460178,843.676487499,843.676487499,0,4.0347901998,1,1,1,0,209.100460178,209.100460178,0,0,0,0,False,-0.00303942215102,-2.57210672254,-0.156323512501,0
2025-07-14,2025-07-15,208.39327261,938.648496574,938.648496574,0,4.50421688194,1,1,1,0,208.39327261,208.39327261,0,0,0,0,False,-0.00338204692206,-3.18532618134,-0.0613515034255,2025-07-14,2025-07-15,208.39327261,840.823134031,840.823134031,0,4.0347901998,1,1,1,0,208.39327261,208.39327261,0,0,0,0,False,-0.00338204692206,-2.85335346776,-0.159176865969,0
2025-07-15,2025-07-16,209.468990241,943.493762088,943.493762088,0,4.50421688194,1,1,1,0,209.468990241,209.468990241,0,0,0,0,False,0.00516195948914,4.84526551386,-0.0565062379117,2025-07-15,2025-07-16,209.468990241,845.163428986,845.163428986,0,4.0347901998,1,1,1,0,209.468990241,209.468990241,0,0,0,0,False,0.00516195948914,4.3402949554,-0.154836571014,-2.22044604925e-16
2025-07-16,2025-07-17,209.737938965,944.705165471,944.705165471,0,4.50421688194,1,1,1,0,209.737938965,209.737938965,0,0,0,0,False,0.00128395484004,1.21140338238,-0.0552948345293,2025-07-16,2025-07-17,209.737938965,846.248580662,846.248580662,0,4.0347901998,1,1,1,0,209.737938965,209.737938965,0,0,0,0,False,0.00128395484004,1.08515167527,-0.153751419338,2.22044604925e-16
