strategy_decision_date,strategy_fill_date,strategy_adjusted_open,strategy_equity_before_fill,strategy_equity,strategy_cash,strategy_shares,strategy_holding_exposure_for_return,strategy_target_exposure,strategy_new_exposure_after_fill,strategy_signed_share_delta,strategy_reference_price,strategy_fill_price,strategy_turnover,strategy_fees,strategy_slippage,strategy_margin_interest,strategy_trade_executed,strategy_daily_return,strategy_monetary_pnl,strategy_drawdown,buy_hold_decision_date,buy_hold_fill_date,buy_hold_adjusted_open,buy_hold_equity_before_fill,buy_hold_equity,buy_hold_cash,buy_hold_shares,buy_hold_holding_exposure_for_return,buy_hold_target_exposure,buy_hold_new_exposure_after_fill,buy_hold_signed_share_delta,buy_hold_reference_price,buy_hold_fill_price,buy_hold_turnover,buy_hold_fees,buy_hold_slippage,buy_hold_margin_interest,buy_hold_trade_executed,buy_hold_daily_return,buy_hold_monetary_pnl,buy_hold_drawdown,static_1_10_decision_date,static_1_10_fill_date,static_1_10_adjusted_open,static_1_10_equity_before_fill,static_1_10_equity,static_1_10_cash,static_1_10_shares,static_1_10_holding_exposure_for_return,static_1_10_target_exposure,static_1_10_new_exposure_after_fill,static_1_10_signed_share_delta,static_1_10_reference_price,static_1_10_fill_price,static_1_10_turnover,static_1_10_fees,static_1_10_slippage,static_1_10_margin_interest,static_1_10_trade_executed,static_1_10_daily_return,static_1_10_monetary_pnl,static_1_10_drawdown,active_daily_return
2025-06-13,2025-06-16,196.520355928,797.684046524,797.684046524,1.42108547152e-14,4.05904031038,1,1,1,0,196.520355928,196.520355928,0,0,0,0,False,-0.0121664519735,-9.82451412128,-0.202315953476,2025-06-13,2025-06-16,196.520355928,793.710482456,793.710482456,2.27373675443e-13,4.03882070489,1,1,1,0,196.520355928,196.520355928,0,0,0,0,False,-0.0121664519735,-9.77557452362,-0.206289517544,2025-06-13,2025-06-16,196.520355928,767.390922109,767.389795434,-76.7389795434,4.29537576904,1.10146657483,1.1,1.1,-0.00573312392344,196.520355928,196.323835572,0.00146818983852,0,0.00112667555402,0.0767222198157,True,-0.0134831757039,-10.4882665865,-0.232610204566,1.11022302463e-16
2025-06-16,2025-06-17,196.42074595,797.279725606,797.279725606,1.42108547152e-14,4.05904031038,1,1,1,0,196.42074595,196.42074595,0,0,0,0,False,-0.000506868502491,-0.404320918123,-0.202720274394,2025-06-16,2025-06-17,196.42074595,793.308175613,793.308175613,2.27373675443e-13,4.03882070489,1,1,1,0,196.42074595,196.42074595,0,0,0,0,False,-0.000506868502491,-0.402306843654,-0.206691824387,2025-06-16,2025-06-17,196.42074595,766.936703892,766.936633276,-76.6936633276,4.29501625464,1.10009197422,1.1,1.1,-0.000359514393778,196.42074595,196.224325204,9.20755064235e-05,0,7.06160854056e-05,0.0252292535485,True,-0.000590524086211,-0.453162157716,-0.233063366724,1.11022302463e-16
2025-06-17,2025-06-18,195.165736993,792.185593662,792.185593662,1.42108547152e-14,4.05904031038,1,1,1,0,195.165736993,195.165736993,0,0,0,0,False,-0.00638939105126,-5.09413194414,-0.207814406338,2025-06-17,2025-06-18,195.165736993,788.239419454,788.239419454,2.27373675443e-13,4.03882070489,1,1,1,0,195.165736993,195.165736993,0,0,0,0,False,-0.00638939105126,-5.06875615815,-0.211760580546,2025-06-17,2025-06-18,195.165736993,761.521135053,761.520567665,-76.1520567665,4.29210904197,1.10074425272,1.1,1.1,-0.00290721267585,195.165736993,194.970571256,0.000745072301162,0,0.000567388304477,0.0252143550666,True,-0.00706194667991,-5.41606561106,-0.238479432335,-1.11022302463e-16
2025-06-18,2025-06-20,197.456661109,801.484546997,801.484546997,1.42108547152e-14,4.05904031038,1,1,1,0,197.456661109,197.456661109,0,0,0,0,False,0.0117383519839,9.29895333499,-0.198515453003,2025-06-18,2025-06-20,197.456661109,797.492051208,797.492051208,2.27373675443e-13,4.03882070489,1,1,1,0,197.456661109,197.456661109,0,0,0,0,False,0.0117383519839,9.25263175315,-0.202507948792,2025-06-18,2025-06-20,197.456661109,771.303391192,771.302464002,-77.1302464002,4.29680470457,1.09879656983,1.1,1.1,0.00469566259976,197.456661109,197.65411777,0.00120210784658,0,0.000927189858643,0.0500725852711,True,0.012845216207,9.78189633773,-0.228697535998,0
2025-06-20,2025-06-23,200.833241765,815.190223988,815.190223988,1.42108547152e-14,4.05904031038,1,1,1,0,200.833241765,200.833241765,0,0,0,0,False,0.0171003633726,13.7056769911,-0.184809776012,2025-06-20,2025-06-23,200.833241765,811.12945507,811.12945507,2.27373675443e-13,4.03882070489,1,1,1,0,200.833241765,200.833241765,0,0,0,0,False,0.0171003633726,13.6374038624,-0.18887054493,2025-06-20,2025-06-23,200.833241765,785.73489798,785.733532312,-78.5733532312,4.3036047118,1.09826001144,1.1,1.1,0.00680000722893,200.833241765,201.034075006,0.00173807667105,0,0.00136566749581,0.0760736676824,True,0.0187099989737,14.4310683099,-0.214266467688,-2.22044604925e-16
2025-06-23,2025-06-24,201.789458746,819.071547259,819.071547259,1.42108547152e-14,4.05904031038,1,1,1,0,201.789458746,201.789458746,0,0,0,0,False,0.00476124854907,3.88132327117,-0.180928452741,2025-06-23,2025-06-24,201.789458746,814.991444011,814.991444011,2.27373675443e-13,4.03882070489,1,1,1,0,201.789458746,201.789458746,0,0,0,0,False,0.00476124854907,3.86198894106,-0.185008555989,2025-06-23,2025-06-24,201.789458746,789.822879882,789.8224972,-78.98224972,4.30550115116,1.09951495148,1.1,1.1,0.00189643936008,201.789458746,201.991248204,0.000484515556288,0,0.000382681472015,0.0258323353089,True,0.00520400965443,4.08896488796,-0.2101775028,0
2025-06-24,2025-06-25,200.653983853,814.462608897,814.462608897,1.42108547152e-14,4.05904031038,1,1,1,0,200.653983853,200.653983853,0,0,0,0,False,-0.00562702779372,-4.60893836147,-0.185537391103,2025-06-24,2025-06-25,200.653983853,810.405464504,810.405464504,2.27373675443e-13,4.03882070489,1,1,1,0,200.653983853,200.653983853,0,0,0,0,False,-0.00562702779372,-4.58597950709,-0.189594535496,2025-06-24,2025-06-25,200.653983853,784.907741975,784.907223963,-78.4907223963,4.30291953233,1.10065923963,1.1,1.1,-0.00258161882921,200.653983853,200.453329869,0.000659965592348,0,0.000518012102871,0.0259667670312,True,-0.0062232631443,-4.91527323737,-0.215092776037,1.11022302463e-16
2025-06-25,2025-06-26,200.634043074,814.381668471,814.381668471,1.42108547152e-14,4.05904031038,1,1,1,0,200.634043074,200.634043074,0,0,0,0,False,-9.93789343841e-05,-0.0809404261679,-0.185618331529,2025-06-25,2025-06-26,200.634043074,810.324927272,810.324927272,2.27373675443e-13,4.03882070489,1,1,1,0,200.634043074,200.634043074,0,0,0,0,False,-9.93789343842e-05,-0.0805372314815,-0.189675072728,2025-06-25,2025-06-26,200.634043074,784.795615226,784.795578219,-78.4795578219,4.30273508332,1.10004710276,1.1,1.1,-0.000184449007515,200.634043074,200.433409031,4.71546341502e-05,0,3.70067501186e-05,0.025805169007,True,-0.00014224068808,-0.111645743616,-0.215204421781,1.11022302463e-16
2025-06-26,2025-06-27,201.092227748,816.241458535,816.241458535,1.42108547152e-14,4.05904031038,1,1,1,0,201.092227748,201.092227748,0,0,0,0,False,0.00228368360396,1.85979006365,-0.183758541465,2025-06-26,2025-06-27,201.092227748,812.175453023,812.175453023,2.27373675443e-13,4.03882070489,1,1,1,0,201.092227748,201.092227748,0,0,0,0,False,0.00228368360396,1.85052575029,-0.187824546977,2025-06-26,2025-06-27,201.092227748,786.741223995,786.741055417,-78.6741055417,4.30357339341,1.09978549099,1.1,1.1,0.000838310090646,201.092227748,201.293319976,0.000214273306814,0,0.000168577643672,0.025801498462,True,0.00247896044749,1.94547719777,-0.213258944583,-2.22044604925e-16
2025-06-27,2025-06-30,201.211736268,816.726548436,816.726548436,1.42108547152e-14,4.05904031038,1,1,1,0,201.211736268,201.211736268,0,0,0,0,False,0.000594297062188,0.485089900843,-0.183273451564,2025-06-27,2025-06-30,201.211736268,812.658126508,812.658126508,2.27373675443e-13,4.03882070489,1,1,1,0,201.211736268,201.211736268,0,0,0,0,False,0.000594297062188,0.482673485712,-0.187341873492,2025-06-27,2025-06-30,201.211736268,787.177772727,787.177738765,-78.7177738765,4.30340460601,1.10004309655,1.1,1.1,-0.000168787397485,201.211736268,201.010524532,4.31440095044e-05,0,3.39620053082e-05,0.0775963780685,True,0.000555053463462,0.436683347657,-0.212822261235,0
2025-06-30,2025-07-01,205.853329728,835.566963393,835.566963393,1.42108547152e-14,4.05904031038,1,1,1,0,205.853329728,205.853329728,0,0,0,0,False,0.0230682043988,18.8404149572,-0.164433036607,2025-06-30,2025-07-01,205.853329728,831.404690277,831.404690277,2.27373675443e-13,4.03882070489,1,1,1,0,205.853329728,205.853329728,0,0,0,0,False,0.0230682043988,18.7465637686,-0.168595309723,2025-06-30,2025-07-01,205.853329728,807.126513622,807.124546788,-80.7124546788,4.31295914737,1.09756048446,1.1,1.1,0.00955454135581,205.853329728,206.059183058,0.00243683501771,0,0.00196683415212,0.025879816069,True,0.0253396495367,19.9468080234,-0.192875453212,0
2025-07-01,2025-07-02,208.08447526,844.623273046,844.623273046,1.42108547152e-14,4.05904031038,1,1,1,0,208.08447526,208.08447526,0,0,0,0,False,0.0108385204889,9.05630965262,-0.155376726954,2025-07-01,2025-07-02,208.08447526,840.415887047,840.415887047,2.27373675443e-13,4.03882070489,1,1,1,0,208.08447526,208.08447526,0,0,0,0,False,0.0108385204889,9.01119677017,-0.159584112953,2025-07-01,2025-07-02,208.08447526,816.720850718,816.719918648,-81.6719918648,4.31743843163,1.09885751075,1.1,1.1,0.00447928426088,208.08447526,208.292559735,0.00114123389178,0,0.000932069514965,0.0265356015382,True,0.0118883410229,9.59537186019,-0.183280081352,0
