strategy_decision_date,strategy_fill_date,strategy_adjusted_open,strategy_equity_before_fill,strategy_equity,strategy_cash,strategy_shares,strategy_holding_exposure_for_return,strategy_target_exposure,strategy_new_exposure_after_fill,strategy_signed_share_delta,strategy_reference_price,strategy_fill_price,strategy_turnover,strategy_fees,strategy_slippage,strategy_margin_interest,strategy_trade_executed,strategy_daily_return,strategy_monetary_pnl,strategy_drawdown,buy_hold_decision_date,buy_hold_fill_date,buy_hold_adjusted_open,buy_hold_equity_before_fill,buy_hold_equity,buy_hold_cash,buy_hold_shares,buy_hold_holding_exposure_for_return,buy_hold_target_exposure,buy_hold_new_exposure_after_fill,buy_hold_signed_share_delta,buy_hold_reference_price,buy_hold_fill_price,buy_hold_turnover,buy_hold_fees,buy_hold_slippage,buy_hold_margin_interest,buy_hold_trade_executed,buy_hold_daily_return,buy_hold_monetary_pnl,buy_hold_drawdown,static_1_10_decision_date,static_1_10_fill_date,static_1_10_adjusted_open,static_1_10_equity_before_fill,static_1_10_equity,static_1_10_cash,static_1_10_shares,static_1_10_holding_exposure_for_return,static_1_10_target_exposure,static_1_10_new_exposure_after_fill,static_1_10_signed_share_delta,static_1_10_reference_price,static_1_10_fill_price,static_1_10_turnover,static_1_10_fees,static_1_10_slippage,static_1_10_margin_interest,static_1_10_trade_executed,static_1_10_daily_return,static_1_10_monetary_pnl,static_1_10_drawdown,active_daily_return
2025-08-06,2025-08-07,218.01508809,881.953273893,881.953273893,-2.84404007497e-14,4.04537723339,1,1,1,0,218.01508809,218.01508809,0,0,0,9.347195689e-18,False,0.0644361071579,53.3894287151,-0.118046726107,2025-08-06,2025-08-07,218.01508809,879.645085436,879.645085436,0,4.03478994571,1,1,1,0,218.01508809,218.01508809,0,0,0,0,False,0.0644361071579,53.2497015133,-0.120354914564,2025-08-06,2025-08-07,218.01508809,857.215094675,857.203829486,-85.7203829486,4.32504108178,1.09341473763,1.1,1.1,0.0258358017537,218.01508809,218.451118266,0.00657080659239,0,0.0112651891904,0.0263178757113,True,0.0708327685064,56.7017766009,-0.142796170514,0
2025-08-07,2025-08-08,219.957373566,889.810551339,889.810551339,-2.84497510185e-14,4.04537723339,1,1,1,0,219.957373566,219.957373566,0,0,0,9.35026873964e-18,False,0.00890894980387,7.85727744647,-0.110189448661,2025-08-07,2025-08-08,219.957373566,887.481799348,887.481799348,0,4.03478994571,1,1,1,0,219.957373566,219.957373566,0,0,0,0,False,0.00890894980387,7.83671391137,-0.112518200652,2025-08-07,2025-08-08,219.957373566,865.576111919,865.574497379,-86.5574497379,4.32871120291,1.099065309,1.1,1.1,0.00367012113358,219.957373566,220.397288313,0.000932639191511,0,0.00161454041042,0.0281820437091,True,0.00976508457543,8.37066789331,-0.134425502621,0
2025-08-08,2025-08-11,227.277010874,919.421245463,919.421245463,-2.84778110469e-14,4.04537723339,1,1,1,0,227.277010874,227.277010874,0,0,0,2.80600284018e-17,False,0.0332775264118,29.6106941237,-0.080578754537,2025-08-08,2025-08-11,227.277010874,917.014998366,917.014998366,0,4.03478994571,1,1,1,0,227.277010874,227.277010874,0,0,0,0,False,0.0332775264118,29.5331990178,-0.0829850016344,2025-08-08,2025-08-11,227.277010874,897.173721665,897.167586062,-89.7167586062,4.34220927525,1.09657307094,1.1,1.1,0.0134980723401,227.277010874,227.731564896,0.00341940636461,0,0.00613560306804,0.0853717312483,True,0.0364995604411,31.5930886834,-0.102832413938,0
2025-08-11,2025-08-12,227.366763386,919.784328233,919.784328233,-2.84871736149e-14,4.04537723339,1,1,1,0,227.366763386,227.366763386,0,0,0,9.36256801541e-18,False,0.000394903611099,0.363082769954,-0.080215671767,2025-08-11,2025-08-12,227.366763386,917.3771309,917.3771309,0,4.03478994571,1,1,1,0,227.366763386,227.366763386,0,0,0,0,False,0.000394903611098,0.362132534286,-0.0826228691001,2025-08-11,2025-08-12,227.366763386,897.527814333,897.527801308,-89.7527801308,4.34223791874,1.09999272791,1.1,1.1,2.86434950862e-05,227.366763386,227.821496913,7.25613030129e-06,0,1.30251575397e-05,0.0294959206377,True,0.000401502741792,0.360215245651,-0.102472198692,2.22044604925e-16
2025-08-12,2025-08-13,230.418134109,932.128273885,932.128273885,-2.8496539261e-14,4.04537723339,1,1,1,0,230.418134109,230.418134109,0,0,0,9.36564611997e-18,False,0.0134204783376,12.3439456523,-0.0678717261147,2025-08-12,2025-08-13,230.418134109,929.688770813,929.688770813,0,4.03478994571,1,1,1,0,230.418134109,230.418134109,0,0,0,0,False,0.0134204783376,12.3116399127,-0.0703112291875,2025-08-12,2025-08-13,230.418134109,910.748071201,910.745491837,-91.0745491837,4.34783505601,1.09858081585,1.1,1.1,0.00559713726838,230.418134109,230.878970377,0.00141606879719,0,0.00257936385147,0.0295077633307,True,0.014726775605,13.2176905292,-0.0892545081629,-2.22044604925e-16
2025-08-13,2025-08-14,233.399694066,944.189808657,944.189808657,-2.85059079863e-14,4.04537723339,1,1,1,0,233.399694066,233.399694066,0,0,0,9.3687252365e-18,False,0.0129397799736,12.0615347712,-0.0558101913435,2025-08-13,2025-08-14,233.399694066,941.718738951,941.718738951,0,4.03478994571,1,1,1,0,233.399694066,233.399694066,0,0,0,0,False,0.0129397799736,12.0299681382,-0.0582812610492,2025-08-13,2025-08-14,233.399694066,923.678880423,923.676359177,-92.3676359177,4.35323619064,1.09863221238,1.1,1.1,0.00540113462946,233.399694066,233.866493455,0.00136478509669,0,0.00252124634025,0.0299423175398,True,0.0141981129261,12.9308673401,-0.0763236408229,0
2025-08-14,2025-08-15,233.339865598,943.947779933,943.947779933,-2.85152797916e-14,4.04537723339,1,1,1,0,233.339865598,233.339865598,0,0,0,9.37180536534e-18,False,-0.000256334818492,-0.242028723224,-0.0560522200667,2025-08-14,2025-08-15,233.339865598,941.477343649,941.477343649,0,4.03478994571,1,1,1,0,233.339865598,233.339865598,0,0,0,0,False,-0.000256334818492,-0.241395302019,-0.0585226563512,2025-08-14,2025-08-15,233.339865598,923.385544282,923.385425122,-92.3385425122,4.3529808549,1.10006438148,1.1,1.1,-0.000255335740894,233.339865598,232.873185867,6.45234353425e-05,0,0.000119160014925,0.0303674419455,True,-0.000314974018911,-0.290934055023,-0.0766145748779,0
2025-08-15,2025-08-18,231.046344665,934.669622564,934.669622564,-2.85434044511e-14,4.04537723339,1,1,1,0,231.046344665,231.046344665,0,0,0,2.81246595205e-17,False,-0.00982910025988,-9.27815736906,-0.0653303774358,2025-08-15,2025-08-18,231.046344665,932.223468446,932.223468446,0,4.03478994571,1,1,1,0,231.046344665,231.046344665,0,0,0,0,False,-0.00982910025988,-9.25387520313,-0.0677765315544,2025-08-15,2025-08-18,231.046344665,913.310698777,913.30849684,-91.330849684,4.34821571396,1.10120281769,1.1,1.1,-0.00476514093985,231.046344665,230.584251975,0.00120546972398,0,0.00220193679193,0.0910736309709,True,-0.0109130250574,-10.076928282,-0.0866915031599,0
2025-08-18,2025-08-19,230.627531171,932.975363993,932.975363993,-2.85527885841e-14,4.04537723339,1,1,1,0,230.627531171,230.627531171,0,0,0,9.38413297024e-18,False,-0.00181268175442,-1.69425857123,-0.067024636007,2025-08-18,2025-08-19,230.627531171,930.533643973,930.533643973,0,4.03478994571,1,1,1,0,230.627531171,230.627531171,0,0,0,0,False,-0.00181268175442,-1.68982447229,-0.0694663560267,2025-08-18,2025-08-19,230.627531171,911.457378846,911.456947621,-91.1456947621,4.34728081808,1.10023603778,1.1,1.1,-0.000934895877426,230.627531171,230.166276109,0.000236558212284,0,0.000431225456226,0.030026580718,True,-0.00202729879969,-1.85154921939,-0.0885430523793,-1.11022302463e-16
2025-08-19,2025-08-20,229.331192075,927.731183326,927.731183326,-2.85621758023e-14,4.04537723339,1,1,1,0,229.331192075,229.331192075,0,0,0,9.38721816464e-18,False,-0.00562092084014,-5.2441806668,-0.0722688166738,2025-08-19,2025-08-20,229.331192075,925.303188021,925.303188021,0,4.03478994571,1,1,1,0,229.331192075,229.331192075,0,0,0,0,False,-0.00562092084014,-5.23045595186,-0.0746968119785,2025-08-19,2025-08-20,229.331192075,905.791431826,905.790236161,-90.5790236161,4.3446739659,1.10065855921,1.1,1.1,-0.00260685218387,229.331192075,228.872529691,0.000660011232039,0,0.00119566503778,0.029965707867,True,-0.00621720145383,-5.66671145985,-0.0942097638391,0
