strategy_decision_date,strategy_fill_date,strategy_adjusted_open,strategy_equity_before_fill,strategy_equity,strategy_cash,strategy_shares,strategy_holding_exposure_for_return,strategy_target_exposure,strategy_new_exposure_after_fill,strategy_signed_share_delta,strategy_reference_price,strategy_fill_price,strategy_turnover,strategy_fees,strategy_slippage,strategy_margin_interest,strategy_trade_executed,strategy_daily_return,strategy_monetary_pnl,strategy_drawdown,buy_hold_decision_date,buy_hold_fill_date,buy_hold_adjusted_open,buy_hold_equity_before_fill,buy_hold_equity,buy_hold_cash,buy_hold_shares,buy_hold_holding_exposure_for_return,buy_hold_target_exposure,buy_hold_new_exposure_after_fill,buy_hold_signed_share_delta,buy_hold_reference_price,buy_hold_fill_price,buy_hold_turnover,buy_hold_fees,buy_hold_slippage,buy_hold_margin_interest,buy_hold_trade_executed,buy_hold_daily_return,buy_hold_monetary_pnl,buy_hold_drawdown,active_daily_return
2025-03-20,2025-03-21,210.448033449,862.823022935,862.823022935,0,4.09993388293,1,1,1,0,210.448033449,210.448033449,0,0,0,0,False,-0.0113557506716,-9.91054479792,-0.137176977065,2025-03-20,2025-03-21,210.448033449,849.961928325,849.961928325,0,4.03882095924,1,1,1,0,210.448033449,210.448033449,0,0,0,0,False,-0.0113557506716,-9.76281988691,-0.150038071675,0
2025-03-21,2025-03-24,219.838439886,901.323068459,901.323068459,0,4.09993388293,1,1,1,0,219.838439886,219.838439886,0,0,0,0,False,0.0446210225041,38.5000455234,-0.0986769315413,2025-03-21,2025-03-24,219.838439886,887.888098656,887.888098656,0,4.03882095924,1,1,1,0,219.838439886,219.838439886,0,0,0,0,False,0.0446210225041,37.9261703314,-0.112111901344,0
2025-03-24,2025-03-25,219.609641678,900.385010934,900.385010934,0,4.09993388293,1,1,1,0,219.609641678,219.609641678,0,0,0,0,False,-0.00104075614742,-0.938057524312,-0.0996149890656,2025-03-24,2025-03-25,219.609641678,886.964023659,886.964023659,0,4.03882095924,1,1,1,0,219.609641678,219.609641678,0,0,0,0,False,-0.00104075614742,-0.9240749969,-0.113035976341,0
2025-03-25,2025-03-26,222.33521992,911.559701519,911.559701519,0,4.09993388293,1,1,1,0,222.33521992,222.33521992,0,0,0,0,False,0.012411013565,11.1746905844,-0.0884402984812,2025-03-25,2025-03-26,222.33521992,897.972146189,897.972146189,0,4.03882095924,1,1,1,0,222.33521992,222.33521992,0,0,0,0,False,0.012411013565,11.0081225293,-0.102027853811,0
2025-03-26,2025-03-27,220.226354688,902.913493498,902.913493498,0,4.09993388293,1,1,1,0,220.226354688,220.226354688,0,0,0,0,False,-0.00948507048543,-8.64620802059,-0.0970865065018,2025-03-26,2025-03-27,220.226354688,889.454817088,889.454817088,0,4.03882095924,1,1,1,0,220.226354688,220.226354688,0,0,0,0,False,-0.00948507048543,-8.51732910056,-0.110545182912,0
2025-03-27,2025-03-28,220.504888633,904.055464257,904.055464257,0,4.09993388293,1,1,1,0,220.504888633,220.504888633,0,0,0,0,False,0.00126476209158,1.14197075855,-0.0959445357432,2025-03-27,2025-03-28,220.504888633,890.579765823,890.579765823,0,4.03882095924,1,1,1,0,220.504888633,220.504888633,0,0,0,0,False,0.00126476209158,1.12494873483,-0.109420234177,0
2025-03-28,2025-03-31,215.869379288,885.050182432,885.050182432,0,4.09993388293,1,1,1,0,215.869379288,215.869379288,0,0,0,0,False,-0.0210222520364,-19.0052818245,-0.114949817568,2025-03-28,2025-03-31,215.869379288,871.857773527,871.857773527,0,4.03882095924,1,1,1,0,215.869379288,215.869379288,0,0,0,0,False,-0.0210222520364,-18.7219922957,-0.128142226473,-1.11022302463e-16
2025-03-31,2025-04-01,218.654682326,896.46974073,896.46974073,0,4.09993388293,1,1,1,0,218.654682326,218.654682326,0,0,0,0,False,0.0129027240764,11.4195582977,-0.10353025927,2025-03-31,2025-04-01,218.654682326,883.107113813,883.107113813,0,4.03882095924,1,1,1,0,218.654682326,218.654682326,0,0,0,0,False,0.0129027240764,11.2493402857,-0.116892886187,0
2025-04-01,2025-04-02,220.156757298,902.628148802,902.628148802,0,4.09993388293,1,1,1,0,220.156757298,220.156757298,0,0,0,0,False,0.0068696217983,6.15840807243,-0.0973718511977,2025-04-01,2025-04-02,220.156757298,889.173725692,889.173725692,0,4.03882095924,1,1,1,0,220.156757298,220.156757298,0,0,0,0,False,0.0068696217983,6.06661187928,-0.110826274308,-2.22044604925e-16
2025-04-02,2025-04-03,204.459694569,838.271229459,838.271229459,0,4.09993388293,1,1,1,0,204.459694569,204.459694569,0,0,0,0,False,-0.0712994818837,-64.3569193433,-0.161728770541,2025-04-02,2025-04-03,204.459694569,825.776099746,825.776099746,0,4.03882095924,1,1,1,0,204.459694569,204.459694569,0,0,0,0,False,-0.0712994818837,-63.3976259465,-0.174223900254,0
